model,subset,n,r_squared,p_value,PC1_effect,PC1_p
Winding angle ~ shape,Full dataset,63,0.512,4.52e-10,-542.239,6.43e-11
Axial pitch ~ shape,Full dataset,63,0.097,0.0463,-0.152,0.0147
Winding angle ~ shape,Main region (PC1 < 0.1),55,0.121,0.0353,-366.349,0.032
