"specimen_id","joint_type","joint_type_strict","screw_state","abs_winding_angle_deg","signed_winding_angle_deg","axial_span","endpoint_equivalent_axial_pitch_360","start_end_dist","fit_radius","radial_circle_fit_rms"
"rynchites_cupreus_trochanter_aligned","Unopposed screw configuration","Unopposed screw configuration","clear",354.443564,-354.443564,0.191255,0.194253209800136,0.193223,0.268672,0.002793
"s_capitatum_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",373.03375,-373.03375,0.129198,0.124683838928783,0.139755,0.237702,0.005099
"s_melanogtammum_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",464.168838,-464.168838,0.134236,0.104110737395086,0.406174,0.23712,0.004816
"scolytus_carpini_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",426.173325,-426.173325,0.16252,0.137284988449242,0.284561,0.218017,0.004208
"sibinia_pellucens_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",477.847401,-477.847401,0.243377,0.183355020486969,0.477848,0.23978,0.006006
"sitona_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",431.565136,-431.565136,0.171308,0.142900514558711,0.336681,0.247022,0.006238
"t_plicicollis_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",412.128618,-412.128618,0.288077,0.251639210359325,0.353823,0.240357,0.004397
"t_pseudonasutus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",378.513216,-378.513216,0.292998,0.278667363625158,0.302902,0.243158,0.002582
"xylocleptes_bispinus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",356.143862,-356.143862,0.206679,0.208916811263197,0.207508,0.223337,0.005818
"xylosandrus_germanus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",455.506781,-455.506781,0.225347,0.178098160958003,0.413459,0.234071,0.00517
"240_anthribus_nebulosus_trochanter_aligned",,,,419.373211,419.373211,0.195599,0.167906862319825,0.297333,0.241858,0.010589
