kernel_width_a,kernel_width_b,n_specimens,full_space_distance_spearman_rho,full_space_mantel_p_999,full_space_rho_80pct_subsample_q025,full_space_rho_80pct_subsample_median,full_space_rho_80pct_subsample_q975,pc1_pc5_distance_spearman_rho,pc1_pc5_procrustes_similarity,pc1_pc5_procrustes_disparity,knn_overlap_k5,knn_overlap_k10
0.025,0.075,67,0.35862772939044596,0.001,0.28177567702140804,0.3606918771354315,0.44334827116712855,0.26305832396784934,0.6905023251958571,0.6189953496082854,0.6805970149253731,0.6850746268656719
0.025,0.1,67,0.35515664362532035,0.001,0.27707893030162983,0.355486012880342,0.43637567416304107,0.22800578468219415,0.6651642272668802,0.6696715454662401,0.6358208955223879,0.6582089552238807
0.025,0.15,67,0.32778210220670295,0.001,0.25589042696057557,0.3274673521669411,0.4014585683398269,0.1384511300037911,0.5895666979237932,0.8208666041524134,0.5492537313432836,0.5746268656716418
0.025,0.2,67,0.3312398307286117,0.001,0.25684789992750884,0.33396755294879044,0.4122788008929571,0.13128974580614372,0.5885541899801995,0.8228916200396008,0.5373134328358208,0.5507462686567164
0.075,0.1,67,0.9856678390124339,0.001,0.9797560761591805,0.9857062672520668,0.9912814698828455,0.9805222949664554,0.9822391402891516,0.03552171942169697,0.8507462686567163,0.8940298507462687
0.075,0.15,67,0.9472707819180963,0.001,0.9330532862661037,0.9467631041995963,0.9604781303602058,0.9100157918786296,0.9180247926757873,0.16395041464842508,0.6805970149253732,0.7417910447761195
0.075,0.2,67,0.9151033627578676,0.001,0.8944030527932182,0.9138245183016975,0.9332093723476668,0.8736609363675077,0.891248502667305,0.2175029946653902,0.6388059701492538,0.6835820895522389
0.1,0.15,67,0.9734520200240742,0.001,0.9662717778485408,0.9724015581293962,0.9826407210283831,0.9498015404095577,0.9584760222325452,0.08304795553490896,0.7701492537313434,0.8149253731343283
0.1,0.2,67,0.9448241304266465,0.001,0.9323365763512806,0.9437896879949161,0.9575924586492996,0.9178080773873218,0.9342443256330786,0.13151134873384293,0.7044776119402985,0.7358208955223882
0.15,0.2,67,0.9820272713583523,0.001,0.9776648505798923,0.9816440364268972,0.9856766558196146,0.9792501926896966,0.9786108438725917,0.042778312254816195,0.7970149253731345,0.8164179104477612
