specimen_id,raw_geometry_id,signed_winding_angle_deg,abs_winding_angle_deg,n_turns_signed,n_turns_abs,start_end_dist,axial_span,fitted_axial_span,axial_pitch_360,fitted_pitch_360,fit_radius,fit_rms,radial_rms,axial_rms,helix_rms,helix_rms_relative_to_radius,axial_angle_r_squared,quality_class,quality_warnings,analysis_set_all,analysis_set_primary_adequate,measurement_method,uncertainty_scope
15_mononychus_punctumalbum_trochanter_aligned,15_mononychus_punctumalbum_trochanter_aligned,-476.69625313751453,476.69625313751453,-1.3241562587153182,1.3241562587153182,0.44121054351373695,0.17057228965908092,0.18989391067108805,0.14340747885398436,0.14340747885398436,0.2497502517488509,0.010090086253155115,0.008399268165569376,0.0055912552149729984,0.010090086253155115,0.04040070503433052,0.9902804718578664,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
240_anthribus_nebulosus_trochanter_aligned,240_anthribus_nebulosus_trochanter_aligned,-420.28711770715125,420.28711770715125,-1.1674642158531978,1.1674642158531978,0.2973332352579701,0.17026377967361309,0.16050510177990263,0.1374818170873044,0.1374818170873044,0.24699321504339247,0.019193553550728628,0.017007437895346145,0.008896041487123996,0.019193553550728628,0.07770882915693311,0.9683914027749956,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
300_phaenomerus_foveipennis_trochanter_aligned,300_phaenomerus_foveipennis_trochanter_aligned,-470.5991803889699,470.5991803889699,-1.3072199455249165,1.3072199455249165,0.47675485438783943,0.22996895321643238,0.2045352683658258,0.15646584116622725,0.15646584116622725,0.252700686784413,0.0078027188325229995,0.0043921002455282,0.0064491764290210045,0.0078027188325229995,0.0308773154984725,0.9897542039831321,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
301_scobinoides_dentatus_trochanter_aligned,301_scobinoides_dentatus_trochanter_aligned,-485.7822171491914,485.7822171491914,-1.3493950476366428,1.3493950476366428,0.4823676438249196,0.1920697794055873,0.15595147954672683,0.11557140351142042,0.11557140351142042,0.22093148710823057,0.018299449039206807,0.015518399049895281,0.009697892867357128,0.018299449039206807,0.08282861478337951,0.9602291563936866,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
302_trochanter_aligned,302_trochanter_aligned,-453.1070244260772,453.1070244260772,-1.25863062340577,1.25863062340577,0.3874821551065783,0.22038008722888358,0.250194963508682,0.19878347058779736,0.19878347058779736,0.22692344967740827,0.016814050518688586,0.01471862951711292,0.008128606275554501,0.016814050518688586,0.07409569413205751,0.9881678784315309,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
303_perapion_curtirostre_trochanter_aligned,303_perapion_curtirostre_trochanter_aligned,-226.67857257155282,226.67857257155282,-0.6296627015876467,0.6296627015876467,0.34890646496268457,0.183967553097954,0.1840934619988971,0.29236837680669253,0.29236837680669253,0.15031325014770686,0.007374818587029156,0.007102609849646163,0.0019851656140735777,0.007374818587029156,0.04906299730584107,0.9987666728675572,caution,few_points,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
304_merynchites_trochanter_aligned,304_merynchites_trochanter_aligned,-230.7516420599316,230.7516420599316,-0.64097678349981,0.64097678349981,0.5647963718014628,0.2567882653130005,0.27813737763564517,0.433927382076121,0.433927382076121,0.2784392116030676,0.011605835901004748,0.0087018608019624,0.007679390961809461,0.011605835901004748,0.041681758234359566,0.991372685879238,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
305_euplatypus_paralellus_trochanter_aligned,305_euplatypus_paralellus_trochanter_aligned,-306.7688165191817,306.7688165191817,-0.8521356014421714,0.8521356014421714,0.2260950415582087,0.061030563721515524,0.06230377937719818,0.07311486490149456,0.07311486490149456,0.24662283128695964,0.0061762982573126965,0.004661107421557297,0.004052250950766416,0.0061762982573126965,0.025043497494058948,0.9514739246625039,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
306_proterhinus_trochanter_aligned,306_proterhinus_trochanter_aligned,-112.62352303848971,112.62352303848971,-0.3128431195513603,0.3128431195513603,0.346934149869005,0.019467934506973858,0.019513029092714573,0.062373208401379165,0.062373208401379165,0.2074142217102753,0.0020285236451580793,0.0018176903085952612,0.0009005054808296901,0.0020285236451580793,0.009780060539877561,0.9799584307025679,limited_identifiability,few_points|angular_coverage_below_180_deg,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
307_trochanter_aligned,307_trochanter_aligned,-343.1865128396145,343.1865128396145,-0.9532958689989293,0.9532958689989293,0.1989899249164521,0.1811772464909703,0.19191261316394279,0.2013148482070663,0.2013148482070663,0.2727086185878167,0.015839539266320556,0.008075503779748066,0.013626343708881912,0.015839539266320556,0.05808228338489405,0.946359073931809,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
308_lisshorhoptrus_oryzophilus_trochanter_aligned,308_lisshorhoptrus_oryzophilus_aligned,-501.89155041345396,501.89155041345396,-1.3941431955929278,1.3941431955929278,0.5295110185689511,0.2216333609242704,0.21372775648354525,0.15330402010293287,0.15330402010293287,0.26137841507462023,0.008712182685515425,0.006461212191650178,0.005844216299921298,0.008712182685515425,0.03333168380804592,0.9922189767378357,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
309_listronotus_trochanter_aligned,309_listronotus_trochanter_aligned,-482.07757563826885,482.07757563826885,-1.3391043767729691,1.3391043767729691,0.43951122648470053,0.19539509249350753,0.2220846630920531,0.1658456703929549,0.1658456703929549,0.25370486008041954,0.014675886950560626,0.013139064861992417,0.006538090878688651,0.014675886950560626,0.057846298040599826,0.9901719024102448,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
310_ormiscus_saltator_trochanter_aligned,310_ormiscus_saltator_trochanter_mirrored_aligned,-108.4834556249192,108.4834556249192,-0.3013429322914422,0.3013429322914422,0.36110938743172494,0.018080683355922045,0.018071308847080404,0.05996924736101935,0.05996924736101935,0.2221826968115822,0.0012458565572178366,0.0012064971731707366,0.00031068172185322394,0.0012458565572178366,0.00560735185546137,0.9973483375636206,limited_identifiability,very_few_points|angular_coverage_below_180_deg,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
311_neochetina_trochanter_aligned,311_neochetina_trochanter_aligned,-470.23890963911583,470.23890963911583,-1.3062191934419884,1.3062191934419884,0.44134526301418536,0.2381849382350634,0.2490247782270191,0.19064547472374802,0.19064547472374802,0.2389108744658549,0.008357050469195871,0.004267623684365951,0.007185240471503082,0.008357050469195871,0.03497978268205727,0.9901867032552076,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
312_metapocyrtus_adspersus_trochanter_aligned,312_metapocyrtus_adspersus_trochanter_aligned,-464.70783248919906,464.70783248919906,-1.2908550902477751,1.2908550902477751,0.4190222885611286,0.2080659082342828,0.20332306238309145,0.15751036961403955,0.15751036961403955,0.2356009458911999,0.011388733113920146,0.007899661633470133,0.008203571662195762,0.011388733113920146,0.04833908060445327,0.9822882663171532,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
313_sitona_hispidulus_trochanter_aligned,313_sitona_hispidulus_trochanter_aligned,-473.3443102065275,473.3443102065275,-1.314845306129243,1.314845306129243,0.4647864331254363,0.21960260811590696,0.2270225326675679,0.17266102073703007,0.17266102073703007,0.2480203126878875,0.012652523854111685,0.011885567344550941,0.0043381619122629615,0.012652523854111685,0.05101406298940447,0.9957356345802577,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
315_trochanter_aligned,315_trochanter_aligned,-445.60680042682463,445.60680042682463,-1.2377966678522907,1.2377966678522907,0.4220495892427531,0.23171496477324952,0.22116286513375624,0.17867463281953846,0.17867463281953846,0.29015378305141193,0.02408972438234329,0.022641617232636115,0.008226298676079062,0.02408972438234329,0.08302398862080274,0.9850204777009381,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
316_hypera_postica_trochanter_aligned,316_hypera_postica_trochanter_aligned,-478.26853276881195,478.26853276881195,-1.3285237021355887,1.3285237021355887,0.4553264153355411,0.22401622353090558,0.21917752730686044,0.16497825891591902,0.16497825891591902,0.24750312619552833,0.018400643215947175,0.0178650289881024,0.004407313242196784,0.018400643215947175,0.07434509413594478,0.9949990375055351,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
317_brentus_trochanter_mirrored_aligned,317_brentus_trochanter_mirrored_aligned,-479.5078054081772,479.5078054081772,-1.3319661261338256,1.3319661261338256,0.40185342486577874,0.18420604196010215,0.18146457539613833,0.13623813086212538,0.13623813086212538,0.22716260194790966,0.01101432263460147,0.00966259186384622,0.005286740164962434,0.01101432263460147,0.048486513801805936,0.990876374709501,good,,True,True,robust_circular_3d_helix_soft_l1,conditional moving-block residual bootstrap; excludes manual tracing repeatability
