specimen_id,point_index,point_name,x,y,z,fit_x,fit_y,fit_z,theta_deg,radial_coordinate,axial_coordinate,radial_residual,axial_residual,helix_distance
15_mononychus_punctumalbum_trochanter_aligned,1,C.1.01,-0.04031828,-0.01783881,-0.3900598,-0.049346594573631185,-0.004721422016542735,-0.40453281835415755,-178.7076948198962,0.23843628092308936,0.07984941705160391,-0.011313970825761549,-0.0183040611882333,0.021518470945417367
15_mononychus_punctumalbum_trochanter_aligned,2,C.1.02,-0.010053,-0.001028726,-0.3906703,-0.017928706750426703,0.012674975663689563,-0.4022087190131182,-186.9364828896699,0.24123474447727977,0.0772562148578196,-0.008515507271571132,-0.017619291851156533,0.019569192866043618
15_mononychus_punctumalbum_trochanter_aligned,3,C.1.03,0.01779024,0.01831892,-0.3836422,0.01248336205700605,0.030524253821588552,-0.39485664099250706,-195.1729810244062,0.24081538740495226,0.07665910267707114,-0.008934864343898646,-0.014935361164993641,0.017403930991953285
15_mononychus_punctumalbum_trochanter_aligned,4,C.1.04,0.04403254,0.03793843,-0.3724468,0.04129253979189686,0.048401620427549724,-0.3826034441049406,-203.41636295142115,0.24091318699427627,0.07639221995070973,-0.00883706475457463,-0.011918458837511395,0.014837229341693082
15_mononychus_punctumalbum_trochanter_aligned,5,C.1.05,0.0661187,0.0569511,-0.3569203,0.06676050484033011,0.06508908618375235,-0.3665582661083976,-211.2854340477472,0.24004198045223646,0.07709648519164185,-0.009708271296614446,-0.008079516799782418,0.012630483889647121
15_mononychus_punctumalbum_trochanter_aligned,6,C.1.06,0.08591298,0.07549344,-0.3380839,0.08984682860452754,0.08108104308618255,-0.3465009497604056,-219.17603492700275,0.23966404933449337,0.07805635328689224,-0.010086202414357537,-0.003976395430262384,0.010841734167613767
15_mononychus_punctumalbum_trochanter_aligned,7,C.1.07,0.1039516,0.09276134,-0.316478,0.11006482960591893,0.09597252192482089,-0.3228511686813499,-227.0627161851672,0.2403651945605644,0.07842068870495503,-0.0093850571882865,-0.00047036813509310503,0.009396836947075295
15_mononychus_punctumalbum_trochanter_aligned,8,C.1.08,0.120981,0.1093751,-0.2871033,0.1292381023408113,0.11124026215272918,-0.29195476698450307,-236.0818196123401,0.2402170855833343,0.07737528754814887,-0.00953316616551661,0.0020770276081401745,0.009756807921873207
15_mononychus_punctumalbum_trochanter_aligned,9,C.1.09,0.1352949,0.1237845,-0.2552215,0.1437394555028073,0.12414522704360724,-0.25783057126936654,-245.0601038359046,0.2417725839460522,0.07554333457947028,-0.00797766780279871,0.003821611042061284,0.008845783997397681
15_mononychus_punctumalbum_trochanter_aligned,10,C.1.10,0.1451829,0.1353056,-0.2206041,0.15330813882646802,0.13431179795002887,-0.22143015947374578,-253.97577581024538,0.24328131934232136,0.07325367462165389,-0.006468932406529543,0.005083545640159707,0.008227364265415458
15_mononychus_punctumalbum_trochanter_aligned,11,C.1.11,0.1504574,0.1431059,-0.1876057,0.15764970509876364,0.1409461879005821,-0.18721506479063196,-262.0062163791227,0.24490829588228819,0.07072457491811768,-0.004841955866562719,0.005753404925705304,0.007519721062171894
15_mononychus_punctumalbum_trochanter_aligned,12,C.1.12,0.1510519,0.1476726,-0.1535997,0.15789023802727664,0.14498843062890904,-0.1524788782186169,-270.00223009532107,0.2455406450182171,0.06790990130836841,-0.004209606730633808,0.006123976226850163,0.007431276717605365
15_mononychus_punctumalbum_trochanter_aligned,13,C.1.13,0.1479937,0.1491416,-0.1194525,0.15410998935318115,0.14634298307525342,-0.11788382036436044,-277.96524626209623,0.24617097314994685,0.06452066605391654,-0.0035792785989040565,0.005906841173928124,0.006906664024157059
15_mononychus_punctumalbum_trochanter_aligned,14,C.1.14,0.1401581,0.1473205,-0.08178553,0.14526144712169492,0.1446075462454811,-0.07999093853655363,-286.8728918687299,0.24687818412841553,0.060392345721094254,-0.0028720676204353757,0.005326918060472784,0.006051845044227786
15_mononychus_punctumalbum_trochanter_aligned,15,C.1.15,0.1268925,0.1414793,-0.04609855,0.13179442647875564,0.1394170786462726,-0.04382919677595687,-295.7769900415187,0.2464846291076496,0.05628995412682038,-0.00326562264120131,0.004771510550721171,0.005782006932750082
15_mononychus_punctumalbum_trochanter_aligned,16,C.1.16,0.1102711,0.1323909,-0.0125618,0.1141049959550069,0.13084101254301944,-0.01028399190599777,-304.66863949000447,0.24691158051608236,0.051748853338195656,-0.0028386712327685415,0.0037724348461541414,0.004721156535874022
15_mononychus_punctumalbum_trochanter_aligned,17,C.1.17,0.09097143,0.1204245,0.01674626,0.09358025671846965,0.11954848307256159,0.018762729431149122,-313.2017254283159,0.2474354341452088,0.04708345109801331,-0.0023148176036421053,0.0025062224427985446,0.0034116757570024983
15_mononychus_punctumalbum_trochanter_aligned,18,C.1.18,0.06790635,0.1052325,0.04148485,0.0700509657770795,0.10542808001426895,0.04411811941499255,-321.74527518220907,0.24669184736210611,0.04266313167099852,-0.0030584043867447896,0.0014892611565320887,0.003401725471759146
