specimen_id,specimen_seed,bootstrap_replicate,abs_winding_angle_deg,fitted_pitch_360,endpoint_axial_span,fitted_axial_span,start_end_dist,fit_radius,radial_rms,axial_rms,helix_rms,axial_angle_r_squared,helix_rms_relative_to_radius
15_mononychus_punctumalbum_trochanter_aligned,20261819,1,478.44226916893444,0.14603483949791052,0.18135573765128954,0.1940812221863929,0.45742219887730773,0.2507781812372715,0.0037044075431715193,0.005696952706018264,0.006795432685305246,0.9906597856588104,0.027097384037871337
15_mononychus_punctumalbum_trochanter_aligned,20261819,2,474.6639515341858,0.1541685265508131,0.19223396278649044,0.20327289448558883,0.46786366348119596,0.24756685523348657,0.005079554675066138,0.005417770175981652,0.007426581271132936,0.992297981972333,0.029998285772660234
15_mononychus_punctumalbum_trochanter_aligned,20261819,3,475.7770917831728,0.1406949781984058,0.18650282154080453,0.18594290987704,0.4702173983767015,0.25017468667978154,0.004383467904569009,0.003222378343192483,0.005440451549004237,0.9967312280222256,0.021746610823052227
15_mononychus_punctumalbum_trochanter_aligned,20261819,4,476.93129274063153,0.14590577832894142,0.19244030232248988,0.193297309657639,0.46178015178107773,0.2501921092365076,0.005290466393925232,0.007129412352160018,0.00887792516032795,0.9851281278156667,0.035484433091915034
15_mononychus_punctumalbum_trochanter_aligned,20261819,5,477.55271310973563,0.14068396276524478,0.18869591607346056,0.1866222447488102,0.4705073040226695,0.24981855119023874,0.0051733085100084675,0.005789187808126261,0.007763878954329697,0.989386442056668,0.031078072134112424
15_mononychus_punctumalbum_trochanter_aligned,20261819,6,477.886766596524,0.1425103188931423,0.21076533255096705,0.1891772097291203,0.48613101689065724,0.25224566512572283,0.002180842432294489,0.00676929746180468,0.0071119239197907245,0.9861441771517735,0.02819443464467879
15_mononychus_punctumalbum_trochanter_aligned,20261819,7,476.83387766068836,0.15048952227355544,0.1956153532670366,0.19932917348056658,0.4627129089220069,0.24997210674729545,0.0043381407009413855,0.002766314951471419,0.00514509117041657,0.997884553070425,0.020582661151141563
15_mononychus_punctumalbum_trochanter_aligned,20261819,8,479.1120241900436,0.14556901117754015,0.18682322907447227,0.19373295445726207,0.46298026180443236,0.24545883463377288,0.005890665490556786,0.005882568065485363,0.008324935253003768,0.9900956163136201,0.03391581022302439
15_mononychus_punctumalbum_trochanter_aligned,20261819,9,473.33535061693146,0.13870660558544182,0.18686654218058457,0.1823742771879709,0.4622341733092976,0.24774320817629025,0.005881461946590441,0.003627673661386615,0.006910254034600289,0.9957606387773784,0.027892809193312208
15_mononychus_punctumalbum_trochanter_aligned,20261819,10,475.11329217660415,0.14363418527223054,0.18298478247927005,0.189562529538316,0.4544002448898954,0.25051301404397686,0.005644697225820663,0.0061475918747393,0.008345986618102633,0.9883587619140987,0.033315581028606836
15_mononychus_punctumalbum_trochanter_aligned,20261819,11,478.7119434773074,0.14234958303439138,0.16851157173262563,0.18929012652104954,0.4498435433589697,0.24456024093669448,0.005095187112607239,0.004509775391137783,0.006804337277868495,0.9937239492206122,0.027822745233677736
15_mononychus_punctumalbum_trochanter_aligned,20261819,12,475.90634441324846,0.1405708590207959,0.19103142136898174,0.18582934346560304,0.47751595822283655,0.25061968258286554,0.005980594934515508,0.005473899534324716,0.008107471361813928,0.9907099652681602,0.03234969926647023
15_mononychus_punctumalbum_trochanter_aligned,20261819,13,476.72367278401407,0.13688290327892105,0.18555658606629907,0.1812647788679617,0.46965565415495736,0.2534546155218478,0.004832734120882195,0.003979102729552526,0.006260078083815843,0.9947691924386842,0.02469901000195526
15_mononychus_punctumalbum_trochanter_aligned,20261819,14,480.5949322661395,0.1438336522307388,0.19257220125262248,0.19201590097617605,0.47471740262195394,0.2511450149392125,0.005958924569388981,0.004931954123839621,0.007735176371830594,0.9929021349586452,0.030799641289725888
15_mononychus_punctumalbum_trochanter_aligned,20261819,15,477.9198993743521,0.14428932640809022,0.191964861856946,0.1915520565492987,0.47038718297187865,0.24936623512831124,0.0042875522235157225,0.0036359359568697677,0.005621666510193662,0.9961050487264428,0.02254381595527974
15_mononychus_punctumalbum_trochanter_aligned,20261819,16,473.32322033647733,0.14425498413133403,0.1839570602051344,0.18966453788508458,0.4578112805843128,0.2512782463728417,0.004694581603031053,0.004630021825499303,0.006593648347623458,0.993609281788528,0.026240426470662062
15_mononychus_punctumalbum_trochanter_aligned,20261819,17,478.44307983486226,0.1376600239456037,0.19177578299075967,0.1829513495185431,0.47497748786148725,0.24534669816701923,0.0061040822305698005,0.00579746920835918,0.008418460019470945,0.9892585301750729,0.03431250586360081
15_mononychus_punctumalbum_trochanter_aligned,20261819,18,478.29870070967894,0.14552773967430416,0.18335303706066788,0.19334924667621134,0.4603048327633687,0.2510897340834316,0.0035011617639426245,0.00518029432843762,0.006252486147648535,0.9920796685980001,0.024901400969149026
15_mononychus_punctumalbum_trochanter_aligned,20261819,19,474.92942451294664,0.14415895766967687,0.1831611769212023,0.19018147445679406,0.4573797815152277,0.2517399366773904,0.005798010536626313,0.005289036948012474,0.007847983054280312,0.9918507389539414,0.031174962375308982
15_mononychus_punctumalbum_trochanter_aligned,20261819,20,477.82218148857845,0.14404731533981888,0.18675606371756168,0.19119167348123728,0.4578675451205969,0.25371279012693504,0.0044927663432351205,0.0036767151497174746,0.005805444316076784,0.9959542306759457,0.02288195369721906
15_mononychus_punctumalbum_trochanter_aligned,20261819,21,475.9984410384315,0.14525519265018655,0.1798925146579654,0.19205901459507177,0.45870096738957084,0.2519250947214812,0.006671391990683405,0.005370968879648113,0.008564740381325243,0.9915721958559631,0.03399717043192578
15_mononychus_punctumalbum_trochanter_aligned,20261819,22,476.717678807974,0.14694054752029703,0.18984078782319475,0.19458099093513556,0.46325744089233717,0.2509224797169481,0.005919865706081923,0.005070729456717064,0.0077946845478994685,0.9926906319789395,0.031064114130755546
15_mononychus_punctumalbum_trochanter_aligned,20261819,23,476.67853304345255,0.13794647826640064,0.1748051410203796,0.18265590249593988,0.45044487939068684,0.24992949167973086,0.006574009745344197,0.0029642595879948506,0.007211410336189435,0.9971479541886566,0.02885377907074052
15_mononychus_punctumalbum_trochanter_aligned,20261819,24,480.5962249619466,0.14433314957134483,0.20819449122132286,0.1926832411690453,0.4862033171200005,0.24912045647889416,0.007643675006234654,0.006267724997228202,0.009884844168818014,0.9886255017032264,0.039678974214048424
