model;subset;n;r_squared;p_value;PC1_effect;PC1_p
Winding angle ~ shape;Full dataset;63;0.512;6.43e-11;-542.24;6.43e-11
Axial pitch ~ shape;Full dataset;63;0.097;0.0147;-0.15;0.0147
Winding angle ~ shape;Main region (PC1 < 0.1);55;0.121;0.032;-366.35;0.032
