specimen_id;joint_type;joint_type_strict;screw_state;abs_winding_angle_deg;signed_winding_angle_deg;axial_span;axial_pitch_360;start_end_dist;fit_radius;fit_rms
15_mononychus_punctumalbum_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;476.696253137515;-476.696253137515;0.170572289659081;0.143407478853984;0.441210543513737;0.249750251748851;0.0100900862531551
300_phaenomerus_foveipennis_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;470.59918038897;-470.59918038897;0.229968953216432;0.156465841166227;0.476754854387839;0.252700686784413;0.007802718832523
301_scobinoides_dentatus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;485.782217149191;-485.782217149191;0.192069779405587;0.11557140351142;0.48236764382492;0.220931487108231;0.0182994490392068
302_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;453.107024426077;-453.107024426077;0.220380087228884;0.198783470587797;0.387482155106578;0.226923449677408;0.0168140505186886
303_perapion_curtirostre_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;226.678572571553;-226.678572571553;0.183967553097954;0.292368376806693;0.348906464962685;0.150313250147707;0.00737481858702916
304_merynchites_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;230.751642059932;-230.751642059932;0.256788265313;0.433927382076121;0.564796371801463;0.278439211603068;0.0116058359010047
305_euplatypus_paralellus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;306.768816519182;-306.768816519182;0.0610305637215155;0.0731148649014946;0.226095041558209;0.24662283128696;0.0061762982573127
307_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;343.186512839615;-343.186512839615;0.18117724649097;0.201314848207066;0.198989924916452;0.272708618587817;0.0158395392663206
308_lisshorhoptrus_oryzophilus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;501.891550413454;-501.891550413454;0.22163336092427;0.153304020102933;0.529511018568951;0.26137841507462;0.00871218268551542
309_listronotus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;482.077575638269;-482.077575638269;0.195395092493508;0.165845670392955;0.439511226484701;0.25370486008042;0.0146758869505606
311_neochetina_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;470.238909639116;-470.238909639116;0.238184938235063;0.190645474723748;0.441345263014185;0.238910874465855;0.00835705046919587
312_metapocyrtus_adspersus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;464.707832489199;-464.707832489199;0.208065908234283;0.15751036961404;0.419022288561129;0.2356009458912;0.0113887331139201
313_sitona_hispidulus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;473.344310206527;-473.344310206527;0.219602608115907;0.17266102073703;0.464786433125436;0.248020312687887;0.0126525238541117
315_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;445.606800426825;-445.606800426825;0.23171496477325;0.178674632819538;0.422049589242753;0.290153783051412;0.0240897243823433
316_hypera_postica_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;478.268532768812;-478.268532768812;0.224016223530906;0.164978258915919;0.455326415335541;0.247503126195528;0.0184006432159472
317_brentus_trochanter_mirrored_aligned;True screw-nut joint;True screw-nut joint;clear;479.507805408177;-479.507805408177;0.184206041960102;0.136238130862125;0.401853424865779;0.22716260194791;0.0110143226346015
318_car_pini_trochanter_mirrored_aligned;True screw-nut joint;True screw-nut joint;clear;329.981362797913;-329.981362797913;0.20422808916918;0.200873924370463;0.250790641592315;0.286666749572937;0.0144468257715487
a_fallax_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;434.897525136205;-434.897525136205;0.203446089074706;0.187822364562992;0.348915664091515;0.246727594238502;0.00781254134847177
a_frumentarium_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;133.378978496407;133.378978496407;0.00696532489573676;0.0187357056154327;0.230626731555816;0.123983679909409;0.00365562471294753
a_haematodes_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;199.520130006773;-199.520130006773;0.0147783717549633;0.0336256704894323;0.278299652705734;0.140888200362944;0.00284979279082809
a_validum_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;181.655011689453;181.655011689453;0.073845656302434;0.147935870295208;0.332182482119873;0.16397043484992;0.00349129542564993
adexius_scrobipennis_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;448.563401372122;-448.563401372122;0.2421664267054;0.196821460425635;0.422255493503798;0.258917488763119;0.013049379598893
archarius_pyrrhoceras_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;459.378430087586;-459.378430087586;0.193293326284972;0.183281338158766;0.397299783082791;0.250572010789712;0.0152363694854718
b_porcatus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;494.863353749467;-494.863353749467;0.289342847017217;0.206612640246647;0.604570275974197;0.288857469799957;0.0212220691620707
barypeithes_araneiformis_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;358.556270237561;-358.556270237561;0.194339911088486;0.193546012517807;0.194462564551804;0.248624854456057;0.0125418999667038
brachysomus_hirtus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;416.127476951753;-416.127476951753;0.210959258775188;0.189129976347448;0.308855963675198;0.258978014679896;0.00938491941206104
c_cinctus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;465.149193190339;-465.149193190339;0.175339855303034;0.140229360535762;0.407248485787523;0.243348303313708;0.00889452183781863
c_glandium_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;450.945138572189;-450.945138572189;0.185228869523417;0.159300028371838;0.374119791462701;0.248206954597068;0.0139882486380772
c_tuberculosus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;390.339199957635;-390.339199957635;0.140894851085053;0.126087259057424;0.199449573950747;0.277356433576527;0.0104549671972895
cleopus_solani_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;380.728832607525;-380.728832607525;0.105865388244331;0.0931829360135498;0.137693635577381;0.242560470064439;0.00925529509084306
coenorhinus_pauxillus_trochanter_aligned;Unopposed screw configuration;Unopposed screw configuration;clear;220.652212346958;-220.652212346958;0.192019344791076;0.340846165757507;0.551984835467098;0.264266542000708;0.0105843616021127
dorytomus_taeniatus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;407.03645894147;-407.03645894147;0.166755953508515;0.152570959007087;0.245314170043633;0.226671555668602;0.00728977295041594
e_hypocrita_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;423.12840642545;-423.12840642545;0.212244277000985;0.164847677952663;0.33021868772247;0.265436768474649;0.016351107806282
e_micros_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;413.299009301833;-413.299009301833;0.238611079748995;0.199534200020742;0.324794758906134;0.260724665823268;0.0100937400206486
hylesinus_crenatus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;414.988409922935;-414.988409922935;0.160202085208508;0.14938272728888;0.258234719750961;0.231265161931523;0.0115054403375074
hylurgops_palliatus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;438.68599962925;-438.68599962925;0.177831333474246;0.14528162481575;0.329312630718172;0.232773810883688;0.0135546479581825
larinus_turbinatus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;437.311727950693;-437.311727950693;0.193921630419506;0.160098613552322;0.359075097014441;0.248456667455847;0.012269701407014
leiosoma_deflexum_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;467.546792977548;-467.546792977548;0.188783619247399;0.146714964954639;0.426832117647858;0.258216819823451;0.0151936187313992
leperisinus_fraxini_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;405.430862277956;-405.430862277956;0.172285416247199;0.134913869883809;0.248846918602931;0.245615679350623;0.0112818200626021
limnobaris_t_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;438.727529709366;-438.727529709366;0.212377620568597;0.174846525091371;0.378068315218033;0.256351827194306;0.00762833386231548
n_marmoratus_trochanter_aligned;Unopposed screw configuration;Unopposed screw configuration;clear;220.575964165922;-220.575964165922;0.0239269648925057;0.0345976583637406;0.318155193504037;0.170147296291981;0.00833211364407639
n_quadrimaculatus_trochanter_mirrored_aligned;True screw-nut joint;True screw-nut joint;clear;478.391244139615;-478.391244139615;0.15868664628992;0.115366939969148;0.423969503432229;0.239601952826563;0.0102200676933232
orchestes_testaceus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;381.841861085271;-381.841861085271;0.1386424691923;0.129051241896086;0.166383840778264;0.247637268594751;0.00966534462162058
otiorynchus_singularis_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;482.746755709623;-482.746755709623;0.211189385046835;0.158224653786162;0.446207182186118;0.232840953581656;0.014021655313594
oxystoma_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;247.908281263938;247.908281263938;0.0743514416303052;0.1069323683188;0.26066589993264;0.149739979905975;0.00234541232085007
p_pollinarius_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;481.81786723596;-481.81786723596;0.181073360061334;0.134252827209483;0.466566927261877;0.251030665287186;0.0124178832757137
phyllobius_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;363.630209884251;-363.630209884251;0.159240540077172;0.151617287582686;0.160192446654018;0.228720397179874;0.013706866823286
polydrusus_marginatus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;336.995744667906;-336.995744667906;0.125064961150416;0.148778867989912;0.152652200455821;0.235976986358823;0.0166724469669928
protapion_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;282.915471280065;-282.915471280065;0.071217350336165;0.0915956451411217;0.221501824340334;0.164004870489573;0.00373503389993286
rhinusa_tetra_trochanter_mirrored_aligned;True screw-nut joint;True screw-nut joint;clear;354.274963518107;-354.274963518107;0.16686205359694;0.144233932042218;0.169259001414006;0.212156009507937;0.00961585335412028
rynchites_cupreus_trochanter_aligned;Unopposed screw configuration;Unopposed screw configuration;clear;352.7710100082;-352.7710100082;0.189391889705748;0.231377252775222;0.193223496102586;0.272053763934977;0.0115564158935337
s_capitatum_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;363.680389872702;-363.680389872702;0.138912274531961;0.146631006928002;0.139754658177174;0.250337570976281;0.0134583760407443
s_melanogtammum_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;462.406452797533;-462.406452797533;0.17145674265935;0.161773988312239;0.406173517601484;0.244178632529903;0.0148391633637653
scolytus_carpini_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;419.812186718312;-419.812186718312;0.194642921455878;0.133392627870203;0.284560515977971;0.221941031232276;0.0103969812322262
sibinia_pellucens_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;480.148032430017;-480.148032430017;0.236978281043005;0.185188301234193;0.477848286479616;0.250243474699107;0.0186989722251715
sitona_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;428.023487649873;-428.023487649873;0.200537440931415;0.193159735818784;0.336680681238273;0.25371510520122;0.0161728699104486
t_plicicollis_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;409.335147282322;-409.335147282322;0.295827882014261;0.250644699756901;0.353822775181798;0.242473247978936;0.00836237404688664
t_pseudonasutus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;376.015511119006;-376.015511119006;0.295080703446577;0.282971871422646;0.302901509045537;0.245534300815649;0.00489218966767235
xylocleptes_bispinus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;356.98586362615;-356.98586362615;0.206929835059461;0.184341179531643;0.207508290303169;0.222750935887145;0.00907585999899134
xylosandrus_germanus_trochanter_aligned;True screw-nut joint;True screw-nut joint;clear;458.267102877207;-458.267102877207;0.195835035459946;0.15097467827235;0.413458802382243;0.233755270665825;0.00911857366356875
