specimen_id;PC1;PC2;angle_abs;angle_signed;axial_metric;axial_pitch;fit_rms;fit_radius;fit_rms_rel;axial_class;shape_regime
15_mononychus_punctumalbum_trochanter_aligned;-0.0597531029243682;0.033584426259109;476.696253137515;-476.696253137515;0.170572289659081;0.143407478853984;0.0100900862531551;0.249750251748851;0.0404007050343304;low;main_region
240_anthribus_nebulosus_trochanter_aligned;0.086501364683664;0.349577031528217;420.287117707151;-420.287117707151;0.170263779673613;0.137481817087304;0.0191935535507286;0.246993215043392;0.0777088291569332;low;main_region
300_phaenomerus_foveipennis_trochanter_aligned;-0.0404151511003664;-0.0492489576868542;470.59918038897;-470.59918038897;0.229968953216432;0.156465841166227;0.007802718832523;0.252700686784413;0.0308773154984725;low;main_region
301_scobinoides_dentatus_trochanter_aligned;0.044863879299059;0.0495857482000782;485.782217149191;-485.782217149191;0.192069779405587;0.11557140351142;0.0182994490392068;0.220931487108231;0.0828286147833793;very low;main_region
302_trochanter_aligned;0.0996759331912762;0.035043365018493;453.107024426077;-453.107024426077;0.220380087228884;0.198783470587797;0.0168140505186886;0.226923449677408;0.0740956941320577;very high;main_region
303_perapion_curtirostre_trochanter_aligned;0.270528684623989;-0.0736935917931648;226.678572571553;-226.678572571553;0.183967553097954;0.292368376806693;0.00737481858702916;0.150313250147707;0.049062997305841;very high;right_region
304_merynchites_trochanter_aligned;0.0599551714996465;0.0428392181510069;230.751642059932;-230.751642059932;0.256788265313;0.433927382076121;0.0116058359010047;0.278439211603068;0.0416817582343593;very high;main_region
305_euplatypus_paralellus_trochanter_aligned;-0.0393689934749423;-0.0262890418285976;306.768816519182;-306.768816519182;0.0610305637215155;0.0731148649014946;0.0061762982573127;0.24662283128696;0.0250434974940589;very low;main_region
306_proterhinus_trochanter_aligned;0.014880177258265;0.0715334967448723;112.62352303849;-112.62352303849;0.0194679345069739;0.0623732084013792;0.00202852364515808;0.207414221710275;0.00978006053987758;very low;main_region
307_trochanter_aligned;0.059845649131446;0.0697766154607358;343.186512839615;-343.186512839615;0.18117724649097;0.201314848207066;0.0158395392663206;0.272708618587817;0.0580822833848942;very high;main_region
