"response";"predictor";"n_models";"n_failed";"sign_consistent_positive";"sign_consistent_negative";"min_estimate";"max_estimate";"median_estimate";"min_p";"max_p";"n_nominal_sig";"n_fdr_sig";"min_lambda";"max_lambda";"median_lambda"
"PC1";"axial_span";"14";"0";FALSE;TRUE;"-1,079882980665649";"-0,6367050234681850";"-0,7558344740411029";"0,0157753660376065";"0,116707559863759";"8";"0";"1";"1";"1"
"PC2";"axial_span";"14";"0";FALSE;FALSE;"-0,201038191707563";"0,0850849697672213";"-0,0193564029520042";"0,6003682383145230";"0,999897084496087";"0";"0";"1";"1";"1"
