"term";"estimate";"std_error";"statistic";"p_value";"response";"predictor";"n_taxa";"lambda";"predictor_type";"fdr_p_value"
"n_turns_abs";"-2,16648009091078e-01";"1,01571532279776e-01";"-2,1329599369863530";"5,42679059495753e-02";"PC1";"n_turns_abs";"14";"1,000000000000000";"continuous";"0,184350056260627365"
"(Intercept)";"1,69200304119621e-01";"1,14767427944503e-01";"1,4742885429256094";"1,66149305407099e-01";"PC1";"start_end_dist";"14";"1,000000000000000";"continuous";"0,315110751634153918"
"start_end_dist";"-3,64776816359254e-01";"3,18088339326416e-01";"-1,1467783356400483";"2,73825151919186e-01";"PC1";"start_end_dist";"14";"1,000000000000000";"continuous";"0,430296667301577784"
"(Intercept)";"1,47103464472857e-01";"5,96132406446375e-02";"2,4676307290482740";"2,96217369039704e-02";"PC1";"axial_span";"14";"1,000000000000000";"continuous";"0,149301701437985795"
"axial_span";"-7,55042853383476e-01";"3,26630999980135e-01";"-2,3116080636234613";"3,93613576518326e-02";"PC1";"axial_span";"14";"1,000000000000000";"continuous";"0,149301701437985795"
"(Intercept)";"1,34935348068583e-01";"7,41894728070984e-02";"1,8187937312808640";"9,39712218556264e-02";"PC1";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,258420860102972605"
"axial_pitch_360";"-5,89183090398402e-01";"3,98901995309834e-01";"-1,4770121416433963";"1,65429330242363e-01";"PC1";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,315110751634153918"
"(Intercept)";"6,21699999930054e-01";"1,59065406194330e-01";"3,9084551116697543";"2,07804688562838e-03";"PC1";"fit_radius";"14";"1,000000000000000";"continuous";"0,022858515741912215"
"fit_radius";"-2,43751957979696e+00";"6,61512942778532e-01";"-3,6847647599436626";"3,12150886402173e-03";"PC1";"fit_radius";"14";"1,000000000000000";"continuous";"0,031215088640217298"
"(Intercept)";"1,00769295130393e-01";"1,08388061211803e-01";"0,9297084383996679";"3,70847343789281e-01";"PC2";"abs_winding_angle_deg";"14";"1,000000000000000";"continuous";"0,516369719200265309"
"abs_winding_angle_deg";"-7,79311482892253e-05";"3,29971444378369e-04";"-0,2361754315923889";"8,17279569889653e-01";"PC2";"abs_winding_angle_deg";"14";"1,000000000000000";"continuous";"0,917354619263896276"
"(Intercept)";"1,00769295130393e-01";"1,08388061211803e-01";"0,9297084383996680";"3,70847343789281e-01";"PC2";"n_turns_abs";"14";"1,000000000000000";"continuous";"0,516369719200265309"
"n_turns_abs";"-2,80552133841211e-02";"1,18789719976213e-01";"-0,2361754315923890";"8,17279569889653e-01";"PC2";"n_turns_abs";"14";"1,000000000000000";"continuous";"0,917354619263896276"
"(Intercept)";"9,43358047180786e-02";"1,20563300321552e-01";"0,7824587122820759";"4,49110485501777e-01";"PC2";"start_end_dist";"14";"1,000000000000000";"continuous";"0,609903128459202803"
"start_end_dist";"-4,95127752909538e-02";"3,34152125475347e-01";"-0,1481743538830392";"8,84665902764526e-01";"PC2";"start_end_dist";"14";"1,000000000000000";"continuous";"0,954711370433152462"
"(Intercept)";"8,27316092666581e-02";"7,15125030997194e-02";"1,1568831418373720";"2,69831137686164e-01";"PC2";"axial_span";"14";"1,000000000000000";"continuous";"0,430296667301577784"
"axial_span";"-3,57653406602427e-02";"3,91829065924888e-01";"-0,0912779162409018";"9,28777769386810e-01";"PC2";"axial_span";"14";"1,000000000000000";"continuous";"0,954711370433152462"
"(Intercept)";"8,60585186665992e-02";"8,04515276605925e-02";"1,0696940278084135";"3,05802023574490e-01";"PC2";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,460797569769779702"
"axial_pitch_360";"-5,48980783441431e-02";"4,32571815046839e-01";"-0,1269108999581924";"9,01112687284031e-01";"PC2";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,954711370433152462"
"(Intercept)";"-2,68398477906547e-01";"2,07911376883907e-01";"-1,2909273264849517";"2,21044946500468e-01";"PC2";"fit_radius";"14";"1,000000000000000";"continuous";"0,385951493889705344"
"fit_radius";"1,47671412687523e+00";"8,64651026581997e-01";"1,7078729816730160";"1,13375452237779e-01";"PC2";"fit_radius";"14";"1,000000000000000";"continuous";"0,289402738503873158"
"(Intercept)";"-3,24574936880995e-02";"7,57080528302428e-02";"-0,4287191715375068";"6,75722816787686e-01";"PC3";"abs_winding_angle_deg";"14";"0,000000000000000";"continuous";"0,816807800512586946"
"abs_winding_angle_deg";"5,71316847573728e-05";"2,09007109218531e-04";"0,2733480452937020";"7,89233370042895e-01";"PC3";"abs_winding_angle_deg";"14";"0,000000000000000";"continuous";"0,913849165312825673"
"(Intercept)";"-3,24574936880995e-02";"7,57080528302428e-02";"-0,4287191715375073";"6,75722816787685e-01";"PC3";"n_turns_abs";"14";"0,000000000000000";"continuous";"0,816807800512586946"
"n_turns_abs";"2,05674065126542e-02";"7,52425593186713e-02";"0,2733480452937024";"7,89233370042895e-01";"PC3";"n_turns_abs";"14";"0,000000000000000";"continuous";"0,913849165312825673"
