"tree_label","centroid_size_mean","PC1","PC2","PC3","PC4","PC5","n_specimens","log_centroid_size","analysis_set"
"Curculionidae___Dendroctonus",222.01237776627,-0.0445675533991518,0.00869959195241613,-0.0323279562080547,0.117583632716399,-0.0518417930401859,3,5.40273313602191,"shape_only"
"Curculionidae___Ips",188.2590905499,-0.0185701756517761,-0.0198082851151856,-0.0360245159725008,0.090885457738571,-0.00579403101835557,3,5.23781915528779,"shape_only"
"Curculionidae___Nedyus",208.559734753387,-0.0567168164023641,0.023456447120256,-0.0477799614035139,0.0456457276337595,-0.0065322691175699,6,5.34022549782441,"shape_only"
"Curculionidae___Curculio",217.928683868789,-0.0626916851644466,0.000247581829502192,0.00262321307518348,-0.00542832123092075,-0.0333655111351328,13,5.38416787105115,"shape_only"
"Curculionidae___Larinus",278.838051001576,-0.121410970616135,-0.0408821023951989,0.0550579057321298,0.0189731154247019,0.0134171630006172,7,5.63063115092793,"shape_only"
"Curculionidae___Diaprepes",233.803706583558,-0.0616967034656656,-0.0595666505923478,-0.00429601783661478,-0.0588291793181756,0.0240357256276953,12,5.45448190256311,"shape_only"
"Curculionidae___Oxoplatypus",189.265732370854,-0.0393689934749423,-0.0262890418285976,-0.171648674693338,0.0581366251570629,0.0820345125990987,1,5.24315201895943,"shape_only"
"Curculionidae___Sitophilus",213.66125655918,-0.0975800611468749,-0.0071956313684998,0.0495605895440621,-0.0240255336800717,0.0163640395152319,3,5.36439184761614,"shape_only"
"Brentidae___Nanophyes",159.270738007947,0.29491134540487,-0.122287184474699,-0.00266460097802215,0.020725063231452,0.0320332132227127,2,5.07060550894384,"shape_only"
"Brentidae___Arrhenodes",248.973452233583,0.267904544705843,-0.110473779862832,0.0519894292911872,0.0291823679064999,-0.0402092361634504,6,5.51734627324484,"shape_only"
"Caridae___Car",111.757409872142,-0.0163459772431715,0.205849960175507,0.073548871858467,0.0229341808286173,-0.0267386583572409,1,4.71633053887612,"shape_only"
"Attelabidae___Synolabus",206.388256808391,0.0590264612445578,0.0411855870200834,-0.16880619999652,-0.0914140290009318,0.01872561580037,4,5.32975913668062,"shape_only"
"Belidae___Agnesiotis",94.817756709851,0.014880177258265,0.0715334967448723,-0.0113625648206383,0.127775615733954,0.0376195048608519,1,4.55195669878714,"shape_only"
"Anthribidae___Euparius",98.2238361438367,0.134288632643119,0.266478906098966,0.0801159529654073,-0.0428315750165016,0.00675544655221748,4,4.58724891649509,"shape_only"
"Nemonychidae___Rhynchitomacerinus",95.3340964190101,0.149003935455337,0.168797455760859,0.066358251128264,-0.0359534279159471,0.0983805732888144,2,4.55738752651492,"shape_only"
