"tree_label","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","centroid_size","n_specimens"
"Curculionidae___Dendroctonus",-0.0445675533991518,0.00869959195241613,-0.0323279562080547,0.117583632716399,-0.0518417930401859,-0.0370944679139897,-0.0202956038051129,-0.0422851582160721,0.00237081074935786,0.0107041133643433,-0.00627529127290338,-0.0349421109401861,0.017691413388986,-0.0015618761817774,0.00693842449150202,-0.00353030591129118,-0.0188338686708326,0.00805210686031007,-0.0135551649194594,-0.0158004795648137,0.00347391453174954,-0.00596224692954063,-0.0071030845695595,0.00674042969879188,0.0275170209424828,0.00731677325058107,0.0133314657592142,0.0103597223418322,0.0018025793024746,0.00555042616831054,0.00160666373946188,0.00949455589420503,0.000531109651821167,-0.00242672168094724,-0.0121916347870772,0.00738097556339974,-0.0110199838484896,-0.0167922858067835,0.00681418295384978,-0.00921601540651215,0.00341411496978677,-0.000653543232181475,-0.00427101293390836,0.00127652948792859,0.000132253999471986,-0.00409610396143821,-0.00411002558837377,-0.00383442615736772,-0.00190003158733337,-0.00689118723615083,-0.000552154232560463,0.00185082753385367,-0.00439646548833266,-0.00117783524981616,0.00114812557348668,-2.576364703474e-05,0.00121840596737817,0.0018413216924147,-0.00172479661594278,-0.00213196149059292,-0.00223556394592491,-0.00100463516480999,-0.0013853841813305,-0.000433087658500966,0.00023445603493491,-0.000397572561954795,-0.000380328667187627,222.01237776627,3
"Curculionidae___Ips",-0.0185701756517761,-0.0198082851151856,-0.0360245159725008,0.090885457738571,-0.00579403101835557,-0.111202039734427,0.0039290558665316,-0.0799217207326833,-0.0038041778478246,0.024306620355123,-0.0332354676042039,-0.00319870978343393,0.010324126676443,-0.0137504026283372,-0.017767261818511,0.0141874706584944,-0.0248186867383105,0.0025611475007699,0.00152352762306906,0.019399821233209,-0.0136873099238576,0.00597326079414743,0.00773314510514793,0.00697749220820659,-0.00544681049863401,0.00321269337644692,-0.0166858202186466,0.00042758345796087,0.0123131762514313,-0.011261721065221,-0.00633270589176456,-0.00705215606763849,0.0128652844961774,0.00568700839681753,0.00359823803170431,-0.00479032003811204,0.00589972172357876,0.0142279086296776,-0.0042696418424086,0.00946799033935947,-0.00368665741749746,-0.00515248744233867,-0.00239039661698081,-0.0052407835931761,-0.000533604599965017,0.00178611286368802,0.000204846023406373,0.000586081235083468,0.0010798801012602,0.00259019276246587,0.0011525321194726,-0.000714094356669477,0.00287130549730009,-0.00168490142026509,0.00125931966856007,-0.000649682265413039,-0.00111732172793435,-0.00067427124342153,0.00107569490657027,-0.00010345224646192,-0.000292855714805234,2.69701029230332e-05,0.000594242775806674,-0.00113238303342336,2.38110528823867e-05,0.000560641650050621,0.000552177186753298,188.2590905499,3
"Curculionidae___Nedyus",-0.0567168164023641,0.023456447120256,-0.0477799614035139,0.0456457276337595,-0.0065322691175699,0.0219868661797702,-0.00782947981028972,0.0420948087325034,-0.0211197956942142,-0.00893603999792322,0.00359053067452878,-0.0106494025500455,0.0168333527071299,-0.00938966704881843,0.0198701347284117,-0.00842372995443964,0.0157987558922731,-0.00534492000078551,0.00549645436862362,-0.0105557874786279,-0.000820988826784713,-0.0106839806815052,0.0128167433198774,-0.0113342820053778,0.00830908539293313,-0.00547358682133169,-0.00491944940396443,-0.00888131715556644,0.000808346709134219,0.00010129647445158,-0.000119583672048321,-0.0121757485372424,0.00254773056735734,-0.00524166309282205,-0.00619165337889,-0.00255956245846122,-0.00404806458339123,0.0010079016011125,0.00175482814281753,0.00820105031514485,-0.000992061599105206,-0.000259388144829228,-0.000557685241309947,0.00331517497579863,-0.000246646752176909,0.00206068445985572,4.77477388478534e-05,0.00472622669029762,-0.00144041492819486,0.00349569282150394,-0.00222856528980669,-0.00329488817054387,0.000303674417777747,-0.00398510292275841,-0.00170793205870087,-0.00131990591240779,-0.00126193358563618,-0.00345360187025655,0.00190490430202898,0.00158128157504862,-0.000232547115509521,-1.06051015979917e-05,0.00118203339804604,-0.00208923616723939,-0.00062453786042025,0.000233970080811105,-0.00123075917814045,208.559734753387,6
"Curculionidae___Curculio",-0.0626916851644466,0.000247581829502192,0.00262321307518348,-0.00542832123092075,-0.0333655111351328,0.0104681441009762,-0.0252954095924318,0.0120535662446806,0.000525022155110445,-0.00883245745718099,-0.00256902472960348,-0.00400228728310049,0.00435925200996211,0.0115977294390373,-0.00841868198504226,0.0100051295148802,0.00230441501946964,-0.000163583288122654,0.0107190592292321,0.00650012833389489,0.0110335135222463,-0.00591656512222421,-0.000694992130982358,0.00281987491491907,-0.0102211398222235,-0.00697308922681443,0.00133255806487621,1.45379183181108e-05,-0.0015449826711999,0.00241787388187092,-0.00211713937141905,0.0026061354916885,-0.00086799775475557,-0.000629078330113003,-0.00150254567967029,0.00129628744444525,0.00425148074578101,0.00174775036785678,0.00198350192153183,-0.000806732435028232,0.000267020053062324,-0.00363089291210971,-0.000707365691197534,0.000826289341794759,-0.000381706726953568,0.00135783235382198,0.00068304701084152,-0.00132039552841493,-0.000369233737102223,-0.000290087499773564,0.000194327738159436,0.00121041322447802,0.00191822159266591,0.00386175879909017,-0.000111744819618439,-0.000504042602292975,-0.000342653415384087,0.00211048181776745,-0.00145848171606612,-0.000445597675006776,-0.000386916008997749,-0.000899901878648801,0.00140163153114177,0.00112653553856036,-0.00111000486615942,-0.00155518030379831,0.00102131405109474,217.928683868789,13
"Curculionidae___Larinus",-0.121410970616135,-0.0408821023951989,0.0550579057321298,0.0189731154247019,0.0134171630006172,0.0342497649091541,-0.00453445160737546,0.0139957230495649,-0.000169212734247835,0.030719075032707,0.00129838864505489,0.00036855072861433,-0.016985076890595,0.00197088996815066,0.00921877180866773,0.0113166305035011,-0.00450918085938536,-0.00689422224238735,-0.00606477011286316,-0.00661006174065414,-0.00443113396795819,0.0155594355356773,0.0081295522455058,0.00070470827391389,-0.00196368264467487,-0.00374008792510451,-0.000271198870308569,0.00429068541212859,-0.00309394907052449,0.00173188296282591,-0.00415422136494577,-0.00265849409876461,-0.00468987052698896,0.00543941536657595,0.00475383704618627,-0.00435999798380348,0.00421052065318487,-0.00197743980500774,-0.00237965985338461,0.0012807562903656,-0.00594834439730153,0.00142047809683944,0.00392644857116572,0.000679090130268132,0.00423117410946727,-0.00476910868924426,0.00200065102653277,-0.00161585486471564,0.00273662854343866,-0.00190734383689368,-0.00078213641661451,0.00238097205670803,-0.00536124702037381,0.000283302445400852,0.00333659995436946,-0.000249884424107216,-0.00130406902235548,-0.000784245861530934,0.00115869144176239,-0.000752221362170223,0.00135123560539479,3.95395297363457e-05,-0.00280167731469054,-1.11700656603242e-05,0.00226820565297384,0.00170519287939916,-0.000717014692189783,278.838051001576,7
"Curculionidae___Diaprepes",-0.0616967034656656,-0.0595666505923478,-0.00429601783661478,-0.0588291793181756,0.0240357256276953,-0.0152093165572515,0.00834340575135377,-0.0164214749882138,0.0099461373777998,-0.0397005347550184,-0.00264583918179916,0.00606417903411698,0.00243944931433957,-0.00578219050692474,-0.00876684813554785,-0.00238250751660611,0.00036154332721388,-0.00227367127446604,-0.00674456352290856,-0.00658814974319193,-0.00535080638453648,0.00921129460787435,0.000126122947989787,-0.00241970500868877,0.00306582650114178,0.00339356808542519,-0.00334481706476301,1.52303009781507e-06,-0.000498675272720481,0.00502046975972194,0.00187884981139567,0.00282286191729685,0.000420827634650881,-0.00400692494518283,0.00150042878720308,0.00363619179627575,-0.000122614187693504,-0.000319300740054172,0.000330377504176941,-0.00371020936611815,0.0021515056120594,0.00244097317852175,0.000795501172204498,-0.000810257229805437,-0.00314403595774377,6.87984190833148e-05,-0.0015621908444456,0.000567882270282144,0.000837209095785608,0.0015404471613344,0.000234619066792706,-0.000545330184152914,0.00142742589087786,-0.0010829851821031,-0.00178317356954791,0.00070258273703282,0.00127867942424967,-0.00179945395067287,-0.000273589319960586,-0.000275396285736857,-0.000270759369253023,0.000735615235985439,3.00327226129445e-05,-0.000291897482356888,0.000272030196053666,0.000821214155772007,-0.000250860389205785,233.803706583558,12
"Curculionidae___Oxoplatypus",-0.0393689934749423,-0.0262890418285976,-0.171648674693338,0.0581366251570629,0.0820345125990987,-0.137148784341601,0.0845760794216402,0.0404635448300566,-0.133618169765245,0.0174779450016374,-0.0150568082459962,0.0394777713015544,-0.0317274759418541,0.0360988230460484,-0.00444356755336848,-0.0211390242770168,-0.0106831724389554,0.011262428353519,-0.00276185990936696,0.0322937844280719,-0.0194331619592699,-0.0079749771543389,-0.0185561781662506,-0.00320292763010562,-0.00932924062140818,-0.00135135881727334,0.0202936140036276,-0.0306945571959556,-0.0214936349020407,0.00148302999180173,0.0266225113157481,0.0195671386176796,-0.0208841531261095,0.000995680754953809,-0.00926815171503921,-0.0192930391300702,0.0156057763920901,-0.0109032773253817,0.0072432856965656,-0.00688222488160586,0.0110019837484528,0.01182200804201,0.0047269740412862,0.0091680561996209,0.00259517031916629,0.00530477379281596,0.00974134231930539,0.000509666349078503,0.00560491716279206,-0.00204848994576565,-0.00240004235361701,-8.41666508813696e-06,0.000744844697946705,0.00366119895625579,0.00677100468725758,-0.00459684452640686,0.00084546218959534,-0.00233608834211458,0.000653323554597125,0.00427007975303892,0.00124312255242195,0.00290972457794969,-0.00306330341851845,0.000972476888391699,-0.000630404791747053,-0.000494143235754141,0.00127345011610034,189.265732370854,1
"Curculionidae___Sitophilus",-0.0975800611468749,-0.0071956313684998,0.0495605895440621,-0.0240255336800717,0.0163640395152319,0.0192678172790159,0.0217623670406725,-0.00924199745127573,-0.00238335872506857,0.0124021701148456,0.0486188937289116,0.0137497320747294,0.00498052521538683,-0.0194894800332152,0.00434133703506893,-0.0319203368035534,0.0060003780277482,0.0364905056359799,0.0317180455827225,0.020740334982866,-0.0065826661071169,-0.00843282879424695,0.00283821928525407,0.0293945117495631,0.000670839797258982,0.0015645406471713,0.0196613992839425,-0.00757399280243882,0.00549954175137873,-0.0147552627638335,0.00323015183544443,-0.00821072230585981,0.00488555302520293,0.00591192527410409,0.00592661947286042,0.000367908798863283,-0.00803993969737472,-0.00272603222741675,-0.00456513756424571,-0.0040508367139785,0.000869029690981423,0.00430917272638212,-0.00301085410972779,-0.00540257790815174,0.00112940718026324,0.00446653875845654,0.00132915865114987,-0.00108441430917915,-0.0027775926304157,0.00173576455364081,0.00327751425122354,-0.00318846164511033,-0.00470704155542064,-0.00241452211649809,-0.0033673724735855,0.00546772694118695,0.00141331589898245,0.00492266696232097,0.00221409159635386,0.00034785208017248,0.000627244842297283,0.000691252301634468,-0.00166494673664028,-0.00110287340985405,-0.000415283889535367,-0.00106199337207935,-0.000526887042252579,213.66125655918,3
"Brentidae___Nanophyes",0.29491134540487,-0.122287184474699,-0.00266460097802215,0.020725063231452,0.0320332132227127,0.0279258140232665,0.00246664782871045,0.0113316070690238,0.0374489682426764,-0.0020299367120121,0.0056342231969432,0.0561936024408411,0.0428929532864029,0.04087892031594,0.0509297157489742,-0.00728112175173174,-0.0206660021805856,0.0128722837820992,-0.00836161586524945,0.0174943991178401,-0.0069166400036269,-0.00458208741001047,0.00755288106801321,-0.00395828246755965,0.00576940870667295,-0.00074957078673905,0.0077686424817066,0.022972754275893,-0.00802726855733457,-0.0183803099330535,-0.0105666333786193,0.00483969643900522,0.00330851162952409,-0.0124397752205222,-0.00306105096224935,0.00821086143209245,0.00896145118192502,-0.00477787548398815,-0.00134774018896276,0.00449311929805691,0.00515288956621065,-0.00327426907240238,0.0060107896253337,0.00252078809338741,0.00497377294200099,-0.00549607543862544,0.00795516579413687,-0.00238016235563165,-0.00128935652742115,0.00865365345629522,0.00286356364870966,0.00017545412281107,0.0033833933468329,-0.00117406069060937,-0.00195452381436613,-0.0081963888203706,0.00340745145353006,0.00243087725571615,0.00367917167106381,-0.00390725844821282,0.00033596120785136,0.000105537405982946,0.000631552589462521,6.1366881615484e-05,0.000276489404099887,0.00013509610109293,1.3980106495458e-05,159.270738007947,2
"Brentidae___Arrhenodes",0.267904544705843,-0.110473779862832,0.0519894292911872,0.0291823679064999,-0.0402092361634504,0.0215287653277703,0.0180407688174795,0.0217867745063374,-0.0111044103903156,0.00232899036509133,0.00819093545185203,-0.000729529315091095,-0.014115183973311,-0.00189577720691232,-0.0103677587787552,0.00305666056512107,0.00417887081118961,-0.00308354826023129,-0.00311068507495735,-0.00650162942282664,-0.00259806547872589,-0.00583332653512111,-0.0110323723597908,-0.00352198735227284,-0.00174764230448909,0.00329128515777484,-0.00591166761819953,-0.0065193965801349,0.00928940740550804,0.00209078657128929,0.00365370484270145,0.000535983697837732,0.00152011206067711,0.00553808241531481,0.00273561124321985,-0.00269347036256612,-0.00387389614585071,0.00192851986725083,-0.0046559486094378,-0.00213762906584509,0.00135577133243354,0.00263007007814009,-0.0031766200450068,-0.000138212953778808,-0.00189995269489704,0.00199166897674308,-0.00167117304496324,0.00174952084103004,-0.00098690417709402,-0.00439470630795736,-0.000390397009134313,-0.000935698388403862,-0.000535766256143697,0.00160462950799249,0.00137997447173775,0.00199549676912125,-0.000430088225010917,-0.000775998450119064,-0.0013935576558536,0.00162392217734339,0.000528634415467234,-9.40870861721766e-06,0.000150910096708453,0.00025743842490817,-0.000254768047004168,0.000613607560420972,-3.7201488958963e-06,248.973452233583,6
