method,response,n_tips,n_pc_axes,permutations,df,sum_squares,mean_square,r_squared,f_value,z_score,p_value,pc_axes_available,pc_variance_represented_percent,predictor,interpretation
RRPP_lm.rrpp_with_phylogenetic_covariance,all_nonconstant_atlas_PCs,15,67,9999,1,0.20113634917018,0.20113634917018,0.098680952086143,1.42330552104616,0.977950162655375,0.1572,68,100,log_centroid_size,Direct multivariate phylogenetic test across the complete non-constant atlas-PC representation; visualization scores are descriptive only.
geomorph_procD.pgls,all_nonconstant_atlas_PCs,15,67,9999,1,0.20113634917018,0.20113634917018,0.098680952086143,1.42330552104616,0.977950162655374,0.1572,68,100,log_centroid_size,Direct multivariate phylogenetic test across the complete non-constant atlas-PC representation; visualization scores are descriptive only.
