trait,estimate,std_error,t_value,p_value,r_squared,adjusted_r_squared,n,p_value_adjusted,p_adjust_method,analysis_scope
PC1,-0.0961773969661579,0.0383654160757798,-2.50687746422943,0.014650567475296,0.0869403579573005,0.0731061209566536,68,0.966937453369536,holm,all_nonzero_atlas_PCs
PC2,-0.123905898631996,0.02453030459587,-5.05113575527541,3.70274000538217e-06,0.278798654937872,0.26787136183087,68,0.000248083580360605,holm,all_nonzero_atlas_PCs
PC3,-0.0323706497174248,0.0229901492966632,-1.40802259697039,0.16381737585637,0.0291623112965867,0.014452649346535,68,1,holm,all_nonzero_atlas_PCs
PC4,0.00697668808947007,0.0198103587881625,0.352173737188391,0.725830027985511,0.00187566226722685,-0.0132474337590274,68,1,holm,all_nonzero_atlas_PCs
PC5,-0.0106745916056801,0.0175819209596015,-0.60713454634493,0.545844749193466,0.00555401633803413,-0.00951334705078355,68,1,holm,all_nonzero_atlas_PCs
