trait,model_type,n,estimate,std_error,t_value,p_value,r_squared,adj_r_squared,f_statistic,df_model,df_residual,response_transform,p_value_adjusted,significance_raw,significance_adjusted,p_adjust_method,trait_group
PC31,lm,68,-0.00128486786191678,0.00427881309956072,-0.30028604475589,0.764902795890685,0.00136437395067776,-0.0137664688682513,0.0901717086751365,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC32,lm,68,0.00427442436693645,0.00418770697106877,1.02070760835626,0.311119929046369,0.0155402053293501,0.000624147834340394,1.04184402175636,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC33,lm,68,0.000906799935931374,0.0039066463589235,0.23211723115405,0.817165190945676,0.000815673663626731,-0.0143234827960153,0.0538784089986225,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC34,lm,68,-0.00161561075426423,0.0037307908640484,-0.433047794191035,0.666391998031765,0.00283331906996542,-0.0122752670047321,0.187530392053721,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC35,lm,68,0.00451242472094207,0.00363988901834284,1.23971491938413,0.219470778300882,0.022756348585543,0.00794962659441489,1.5368930813436,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC36,lm,68,-0.00146985294650898,0.00349682296552164,-0.420339537060241,0.675602842480073,0.00266990293552054,-0.0124411591412141,0.176685326416017,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC37,lm,68,-0.00249309705713893,0.00339521095178909,-0.734298131261977,0.46536789275637,0.0081034006458891,-0.00692533570796106,0.539193745574831,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC38,lm,68,0.00513477561724377,0.00328642325352679,1.56242066865047,0.122971510444224,0.0356679869953581,0.0210568958892272,2.44115834582617,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC39,lm,68,-0.000497049500659052,0.00317175759608632,-0.156711061801309,0.875950964012042,0.000371957912359597,-0.0147739215132108,0.0245583568908935,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC40,lm,68,-0.00247658008012544,0.00310493701021039,-0.797626512866882,0.427947696334264,0.00954748285665278,-0.00545937346370096,0.636208054028182,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC41,lm,68,-0.000532644378197663,0.00305610262838585,-0.17428877330569,0.862172039679579,0.000460039425418221,-0.0146845054317724,0.030376576500402,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC42,lm,68,-0.000779543149521057,0.00296523021992662,-0.262894646183779,0.79345072285005,0.00104608025189751,-0.0140895851988314,0.0691135949920942,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC43,lm,68,0.000424009973075083,0.00292579837758436,0.144921118394071,0.885214807427527,0.000318112871341402,-0.0148285823881837,0.0210021305565882,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC44,lm,68,0.00119873574453256,0.00278173660524007,0.430930715105971,0.667922920790268,0.0028057613295159,-0.0123032422867035,0.185701281221743,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC45,lm,68,-0.00101819248795281,0.00258011237843129,-0.394631061989584,0.69438757344142,0.00235404652681939,-0.0127618012530772,0.155733675087027,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC46,lm,68,0.000954377802210665,0.00252242355321445,0.378357473309529,0.706379337183017,0.00216431131772016,-0.012954411238072,0.143154377609171,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC47,lm,68,0.00109618860406708,0.00238746934904559,0.459142482606233,0.647640495338392,0.00318394856581803,-0.0119193249407605,0.210811819333815,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC48,lm,68,0.00131493472700468,0.00233801791419176,0.562414307872936,0.575739107574228,0.00476971433419625,-0.010309532418316,0.316309853700194,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC49,lm,68,1.40249030532456e-05,0.00232943532158205,0.00602073082832814,0.995214342459922,5.49229996939835e-07,-0.0151509575998516,3.6249199707177e-05,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC50,lm,68,-0.00274143138744806,0.00226658992654908,-1.20949597249024,0.230787019466495,0.0216842283707131,0.00686126213390581,1.46288050747011,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC51,lm,68,0.000520875702289088,0.00216244825800736,0.24087314013657,0.810400138792018,0.00087831681533521,-0.0142598905056446,0.0580198696392516,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC52,lm,68,-0.00370198831516363,0.00204267878149225,-1.81232034557054,0.0744854593231661,0.0474060546916106,0.032972813096029,3.28450503496891,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC53,lm,68,-0.00203535461293338,0.0020400537419075,-0.997696566086672,0.32207041836237,0.0148577135324092,-6.86847474027363e-05,0.995398437981136,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
