"tree_id";"response";"predictor";"model_type";"dropped_taxon";"term";"estimate";"p_value";"lambda";"n_taxa";"reason";"source_path";"variant_group";"note";"n_tips";"is_rooted";"is_ultrametric";"tree_height";"total_branch_length";"rf_distance_vs_reference";"fdr_p_value"
"working_tree";"axial_span";"axial_pitch_360";"tree_variant";NA;"axial_pitch_360";"9,64405801467778e-01";"4,52321188097173e-05";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"8,83487801163958e-05"
"working_tree";"axial_span";"fit_radius";"tree_variant";NA;"fit_radius";"1,36268052790894e+00";"1,06096113319980e-02";"0,237975432318243";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"1,80572265318763e-02"
"working_tree";"axial_pitch_360";"fit_radius";"tree_variant";NA;"fit_radius";"1,17364597462222e+00";"1,30949969976269e-02";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"2,12793701211437e-02"
"working_tree";"PC1";"abs_winding_angle_deg";"tree_variant";NA;"abs_winding_angle_deg";"-6,01800025252995e-04";"5,42679059495753e-02";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"5,42679059495753e-02"
"working_tree";"PC1";"n_turns_abs";"tree_variant";NA;"n_turns_abs";"-2,16648009091078e-01";"5,42679059495753e-02";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"5,42679059495753e-02"
"working_tree";"PC1";"start_end_dist";"tree_variant";NA;"start_end_dist";"-3,64776816359254e-01";"2,73825151919186e-01";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"2,77157826090050e-01"
"working_tree";"PC1";"axial_span";"tree_variant";NA;"axial_span";"-7,55042853383476e-01";"3,93613576518326e-02";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"5,09790839666870e-02"
"working_tree";"PC1";"axial_pitch_360";"tree_variant";NA;"axial_pitch_360";"-5,89183090398402e-01";"1,65429330242363e-01";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"2,46831108392444e-01"
"working_tree";"PC1";"fit_radius";"tree_variant";NA;"fit_radius";"-2,43751957979696e+00";"3,12150886402173e-03";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"6,42590872939858e-03"
"working_tree";"PC2";"abs_winding_angle_deg";"tree_variant";NA;"abs_winding_angle_deg";"-7,79311482892253e-05";"8,17279569889653e-01";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"9,96893578205463e-01"
"working_tree";"PC2";"n_turns_abs";"tree_variant";NA;"n_turns_abs";"-2,80552133841211e-02";"8,17279569889653e-01";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"9,96893578224381e-01"
"working_tree";"PC2";"start_end_dist";"tree_variant";NA;"start_end_dist";"-4,95127752909538e-02";"8,84665902764526e-01";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"9,58388061328237e-01"
"working_tree";"PC2";"axial_span";"tree_variant";NA;"axial_span";"-3,57653406602427e-02";"9,28777769386810e-01";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"9,65370940059047e-01"
"working_tree";"PC2";"axial_pitch_360";"tree_variant";NA;"axial_pitch_360";"-5,48980783441431e-02";"9,01112687284031e-01";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"9,57179271186416e-01"
"working_tree";"PC2";"fit_radius";"tree_variant";NA;"fit_radius";"1,47671412687523e+00";"1,13375452237779e-01";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"2,65051575754729e-01"
