"specimen_key";"specimen_id";"taxon_binomial";"sampled_genus";"family";"proxy_tip";"analysis_tree_tip";"family_proxy_label";"tree_label_correction_applied";"proxy_tip_n_specimens";"exact_genus_match";"assignment_type";"assignment_rationale"
"Leiosoma_deflexum";"leiosoma_deflexum_trochanter_aligned";"Leiosoma deflexum";"Leiosoma";"Curculionidae";"Curculio";"Curculio";"Curculionidae___Curculio";FALSE;13;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Limnobaris";"limnobaris_t_trochanter_aligned";"Limnobaris";"Limnobaris";"Curculionidae";"Curculio";"Curculio";"Curculionidae___Curculio";FALSE;13;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Listronotus";"309_listronotus_trochanter_aligned";"Listronotus";"Listronotus";"Curculionidae";"Curculio";"Curculio";"Curculionidae___Curculio";FALSE;13;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Magdalis";"302_trochanter_aligned";"Magdalis";"Magdalis";"Curculionidae";"Curculio";"Curculio";"Curculionidae___Curculio";FALSE;13;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Phaenomerus_foveipennis";"300_phaenomerus_foveipennis_trochanter_aligned";"Phaenomerus foveipennis";"Phaenomerus";"Curculionidae";"Curculio";"Curculio";"Curculionidae___Curculio";FALSE;13;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Rhinusa_tetra";"rhinusa_tetra_trochanter_mirrored_aligned";"Rhinusa tetra";"Rhinusa";"Curculionidae";"Curculio";"Curculio";"Curculionidae___Curculio";FALSE;13;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Sibinia_pellucens";"sibinia_pellucens_trochanter_aligned";"Sibinia pellucens";"Sibinia";"Curculionidae";"Curculio";"Curculio";"Curculionidae___Curculio";FALSE;13;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Hylesinus_crenatus";"hylesinus_crenatus_trochanter_aligned";"Hylesinus crenatus";"Hylesinus";"Curculionidae";"Dendroctonus";"Dendroctonus";"Curculionidae___Dendroctonus";FALSE;3;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Hylurgops_palliatus";"hylurgops_palliatus_trochanter_aligned";"Hylurgops palliatus";"Hylurgops";"Curculionidae";"Dendroctonus";"Dendroctonus";"Curculionidae___Dendroctonus";FALSE;3;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Leperisinus_fraxini";"leperisinus_fraxini_trochanter_aligned";"Leperisinus fraxini";"Leperisinus";"Curculionidae";"Dendroctonus";"Dendroctonus";"Curculionidae___Dendroctonus";FALSE;3;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Barypeithes_araneiformis";"barypeithes_araneiformis_trochanter_aligned";"Barypeithes araneiformis";"Barypeithes";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Brachysomus_hirtus";"brachysomus_hirtus_trochanter_aligned";"Brachysomus hirtus";"Brachysomus";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Brachytemnus_porcatus";"b_porcatus_trochanter_aligned";"Brachytemnus porcatus";"Brachytemnus";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
