specimen,bbox_diag_units,bbox_diag_um,mean_3d_thickness_vox,median_3d_thickness_vox,p10_3d_thickness_vox,p25_3d_thickness_vox,p75_3d_thickness_vox,p90_3d_thickness_vox,max_3d_thickness_vox,mean_3d_thickness_um,median_3d_thickness_um,p10_3d_thickness_um,p25_3d_thickness_um,p75_3d_thickness_um,p90_3d_thickness_um,max_3d_thickness_um,voxel_size_um,analysis_scale,effective_analysis_voxel_size_um,foreground_voxels_retained,connected_components_6n,fraction_removed_outside_largest_component,touches_original_stack_boundary,original_stack_shape_zyx,analysis_crop_start_zyx,analysis_crop_stop_zyx,analysis_crop_shape_zyx,obj_file,tif_file,thickness_definition,analysis_domain,runtime_seconds
Brachytemnus_porcatus,550.6196509388309,671.7559741453737,22.859634399414062,23.61873149871826,9.074420928955078,15.541315078735352,29.61234140396118,35.97899398803711,42.24794387817383,27.88875389099121,28.81485242843628,11.070793533325196,18.96040439605713,36.12705651283264,43.89437266540527,51.5424919128418,1.22,0.75,1.6266666666666667,1429118,7,0.00012383727641951392,False,468x547x553,153x108x109,448x450x439,221x256x248,Brachytemnus_porcatus.obj,Brachytemnus_porcatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,18.367252826690674
Brentus,1147.3216637020325,1399.7324297164796,34.02075958251953,34.354671478271484,19.804923439025877,25.143409729003906,42.04056930541992,47.63615798950195,60.92618179321289,41.50532913208008,41.91269920349121,24.16200659561157,30.674959869384764,51.289494552612304,58.11611274719238,74.32994079589844,1.22,0.75,1.6266666666666667,13586058,97,3.2973893361543105e-05,False,1081x945x990,148x201x162,887x754x855,554x415x520,Brentus.obj,Brentus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,229.28711676597595
Car_pini,399.7336613296408,487.6750668221618,14.383391380310059,15.059345245361328,8.799245262145996,12.697639465332031,16.878469467163086,18.53321647644043,22.93953514099121,17.54773712158203,18.37240119934082,10.735079219818115,15.491120147705077,20.591732749938963,22.610524101257322,27.98623275756836,1.22,0.75,1.6266666666666667,586197,1,0.0,False,564x885x541,43x331x51,318x524x280,206x145x172,Car_pini.obj,Car_pini.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,4.689621686935425
Cimberis_attelaboides,483.70032044645166,590.114390944671,12.67204761505127,12.177684783935547,9.188983726501466,10.890667915344238,14.32361125946045,16.75777854919434,25.298219680786133,15.459897994995117,14.856775436401367,11.210560146331789,13.28661485671997,17.474805736541747,20.444489830017098,30.863828659057617,1.22,0.75,1.6266666666666667,815898,2,1.3481895652533993e-05,False,628x737x528,103x293x101,330x598x411,170x229x232,Cimberis_attelaboides.obj,Cimberis_attelaboides.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,7.63217306137085
Cionus_tuberculosus,614.5892937564078,749.7989383828175,21.93954849243164,23.339210510253906,10.937827587127686,17.48807668685913,26.54458475112915,30.457600593566895,37.71236038208008,26.766250610351562,28.473836822509764,13.344149656295777,21.33545355796814,32.38439339637756,37.15827272415161,46.00907897949219,1.22,0.75,1.6266666666666667,2022136,3,1.3352039375691405e-05,False,625x829x771,209x350x227,484x710x653,206x270x320,Cionus_tuberculosus.obj,Cionus_tuberculosus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,20.0237934589386
Cleopus_solani,423.8325140901769,517.0756671900158,17.163558959960938,17.859012603759766,9.948906898498535,13.501465320587158,20.483026027679443,22.98545608520508,27.712812423706055,20.939542770385742,21.787995376586913,12.137666416168212,16.471787691116333,24.98929175376892,28.042256423950196,33.80963134765625,1.22,0.75,1.6266666666666667,854454,1,0.0,False,408x482x493,95x178x172,323x399x463,171x166x218,Cleopus_solani.obj,Cleopus_solani.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,5.620406150817871
Coeliodes_cinctus,510.24405925008085,622.4977522850986,20.725025177001953,22.677217483520508,9.614803314208984,17.468581199645996,25.370820999145508,27.30281639099121,33.51948165893555,25.284530639648438,27.666205329895018,11.73006004333496,21.311669063568115,30.95240161895752,33.309435997009274,40.893768310546875,1.22,0.75,1.6266666666666667,1094435,4,1.4619201773258261e-05,False,589x776x672,154x378x223,376x630x616,166x189x295,Coeliodes_cinctus.obj,Coeliodes_cinctus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,9.57764744758606
Coenorhinus_pauxillus,472.3748511510747,576.2973184043111,12.323880195617676,12.41491985321045,7.941274166107178,10.628045082092285,13.83050537109375,15.955260276794434,23.551361083984375,15.035134315490723,15.146202220916747,9.688354482650757,12.966215000152587,16.873216552734373,19.46541753768921,28.7326602935791,1.22,0.75,1.6266666666666667,790032,4,1.1391813842576148e-05,False,752x986x662,206x258x210,426x533x535,165x206x244,Coenorhinus_pauxillus.obj,Coenorhinus_pauxillus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,8.331326723098755
Curculio_glandium,1011.6061486566796,1234.159501361149,30.024425506591797,31.46138572692871,14.981886863708496,22.990415573120117,36.49187088012695,41.86171646118164,53.46650314331055,36.629798889160156,38.38289058685303,18.277901973724365,28.04830699920654,44.52008247375488,51.07129408264161,65.22913360595703,1.22,0.75,1.6266666666666667,7691833,27,1.0010517543790343e-05,False,757x1039x916,45x236x106,558x895x689,385x494x437,Curculio_glandium.obj,Curculio_glandium.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,126.35670518875122
Dorytomus_taeniatus,503.09641223129387,613.7776229221785,16.872631072998047,17.534189224243164,8.397391319274902,13.314499855041504,20.330110549926758,23.17234916687012,33.092464447021484,20.584609985351562,21.391710853576658,10.244817409515381,16.243689823150635,24.802734870910644,28.270265983581545,40.372806549072266,1.22,0.75,1.6266666666666667,1213925,2,8.237734425708965e-07,False,576x497x570,181x87x97,448x372x425,200x214x246,Dorytomus_taeniatus.obj,Dorytomus_taeniatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,10.674271583557129
