"coxal_wall_opening","n","median_coxa_size_um","median_whole_volume_thickness_um","median_relative_thickness"
"Absent",47,623.727908306178,24.7376333618164,1.05916072769354
"Present",21,613.777622922178,21.3917108535767,0.921291236065865
