specimen,bbox_diag_units,bbox_diag_um,mean_3d_thickness_vox,median_3d_thickness_vox,p10_3d_thickness_vox,p25_3d_thickness_vox,p75_3d_thickness_vox,p90_3d_thickness_vox,max_3d_thickness_vox,mean_3d_thickness_um,median_3d_thickness_um,p10_3d_thickness_um,p25_3d_thickness_um,p75_3d_thickness_um,p90_3d_thickness_um,max_3d_thickness_um,voxel_size_um,analysis_scale,effective_analysis_voxel_size_um,foreground_voxels_retained,connected_components_6n,fraction_removed_outside_largest_component,original_stack_shape_zyx,analysis_crop_start_zyx,analysis_crop_stop_zyx,analysis_crop_shape_zyx,obj_file,tif_file,thickness_definition,analysis_domain,runtime_seconds,family,Coxal wall hole,opening,opening_factor,log_size,log_median_thickness,log_p10_thickness,relative_thickness
Acalles_fallax,418.077743966358,510.054847638957,25.3637008666992,25.783576965332,8.88283061981201,15.7951760292053,34.310037612915,40.7992469787598,47.3286399841309,30.9437160491943,31.4559638977051,10.8370533561707,19.2701147556305,41.8582458877563,49.7750813140869,57.7409439086914,1.22,0.75,1.62666666666667,1009295,1,0,576x474x518,221x113x148,464x341x411,182x171x197,Acalles_fallax.obj,Acalles_fallax.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,9.64461350440979,Curculionidae,FALSE,FALSE,Absent,2.70761687952182,1.49770299770861,1.03491121161943,1.56103988759797
Adexius_scrobipennis,464.982795380646,567.279010364389,22.8650360107422,25.0143871307373,9.54672794342041,15.4665784835815,30.0140347480774,32.9804267883301,39.2824516296387,27.8953437805176,30.5175522994995,11.6470080909729,18.8692257499695,36.6171223926544,40.2361206817627,47.9245910644531,1.22,0.75,1.62666666666667,1166354,1,0,690x1031x749,275x193x256,521x503x513,184x232x193,Adexius_scrobipennis.obj,Adexius_scrobipennis.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,12.6198666095734,Curculionidae,TRUE,TRUE,Present,2.75379671472711,1.48454969751842,1.06621437716813,1.39032338272749
Anthribus_nebulosus,365.596772414637,446.028062345857,15.9394283294678,15.9732294082642,7.5169734954834,11.8493728637695,20.6103615760803,23.9270038604736,26.6666660308838,19.446102142334,19.4873398780823,9.17070766448975,14.4562348937988,25.144641122818,29.1909447097778,32.533332824707,1.22,0.75,1.62666666666667,444576,2,2.24932913761577e-06,597x785x694,183x392x177,353x569x457,128x133x210,Anthribus_nebulosus.obj,Anthribus_nebulosus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,5.01119208335876,Anthribidae,FALSE,FALSE,Absent,2.64936218368649,1.28975255973758,0.962402849620378,1.07726086197379
Apion_frumentarium,569.404952560127,694.674042123354,20.3102874755859,20.2767486572266,13.7351419448853,17.4214611053467,22.78173828125,26.9268779754639,36.1724281311035,24.7785511016846,24.7376333618164,16.75687317276,21.2541825485229,27.793720703125,32.8507911300659,44.1303634643555,1.22,0.75,1.62666666666667,1810569,5,6.0754012526365e-06,616x811x754,203x328x183,469x645x584,200x238x301,Apion_frumentarium.obj,Apion_frumentarium.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,19.1787838935852,Brentidae,FALSE,FALSE,Absent,2.84178107090082,1.393358148524,1.22419298264115,0.957533169471727
Apion_haematodes,511.476294660857,624.001079486246,19.6734771728516,19.6887245178223,13.481183052063,16.9786520004272,21.9840021133423,25.9929084777832,34.6666679382324,24.0016422271729,24.0202439117432,16.4470433235168,20.7139554405212,26.8204825782776,31.7113483428955,42.2933349609375,1.22,0.75,1.62666666666667,1565402,5,2.55524764825044e-06,851x495x692,256x53x173,508x359x507,189x230x250,Apion_haematodes.obj,Apion_haematodes.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,15.4099068641663,Brentidae,FALSE,FALSE,Absent,2.79518534098774,1.38057741309962,1.21608783640802,1.01356706691849
Archarius_pyrrhoceras,346.741978998794,423.025214378529,12.5652589797974,13.2843923568726,7.3137490272522,10.1782331466675,15.1582820415497,16.4307079315186,21.3333339691162,15.3296165466309,16.2069586753845,8.92277381324768,12.4174444389343,18.4931040906906,20.0454636764526,26.026668548584,1.22,0.75,1.62666666666667,392462,2,5.09600880593819e-06,507x428x400,204x108x117,453x285x295,187x133x134,Archarius_pyrrhoceras.obj,Archarius_pyrrhoceras.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,3.46220231056213,Curculionidae,FALSE,FALSE,Absent,2.62636625422871,1.20970152475469,0.950499884031222,0.934903280659205
Aspidapion_validum,552.254470330481,673.750453803187,21.5032215118408,22.8216114044189,13.5771440505981,18.6666660308838,24.9177722930908,26.5367351531982,35.7770881652832,26.2339305877686,27.8423659133911,16.5641157417297,22.7733325576782,30.3996821975708,32.3748168869019,43.6480484008789,1.22,0.75,1.62666666666667,1873597,3,1.60119555936422e-06,838x596x685,385x177x213,684x455x595,224x208x286,Aspidapion_validum.obj,Aspidapion_validum.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,18.6067669391632,Brentidae,FALSE,FALSE,Absent,2.82849907071302,1.4447061368104,1.21916825647287,1.10454961227579
Barypeithes_araneiformis,391.970662167464,478.204207844306,14.2179555892944,15.4236998558044,7.64362668991089,11.598620891571,17.3802304267883,18.663454246521,21.3333339691162,17.3459053039551,18.8169138240814,9.32522456169128,14.1503174877167,21.2038811206818,22.7694141807556,26.026668548584,1.22,0.75,1.62666666666667,578268,2,5.18787903935891e-06,440x534x505,134x199x102,329x397x388,146x148x214,Barypeithes_araneiformis.obj,Barypeithes_araneiformis.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,5.05501699447632,Curculionidae,TRUE,TRUE,Present,2.67961339326767,1.27454839597338,0.969659298896714,0.983521995985527
Basilogeus_dacrycarpi,146.417212102949,178.628998765598,6.40296697616577,5.96284818649292,4.89924812316895,5.33333349227905,7.05189490318298,8.60439968109131,10.994948387146,7.81161975860596,7.27467478752136,5.97708271026611,6.50666686058044,8.60331178188324,10.4973676109314,13.4138374328613,1.22,0.75,1.62666666666667,35898,1,0,311x169x180,122x61x25,196x142x132,56x61x80,Basilogeus_dacrycarpi.obj,Basilogeus_dacrycarpi.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,0.269622087478638,Nemonychidae,FALSE,FALSE,Absent,2.25195196396779,0.861813583067996,0.776489265598386,0.839537059299321
Brachysomus_hirtus,344.728878975928,420.569232350632,13.5657339096069,14.6978025436401,6.23167943954468,10.3433895111084,17.0370707511902,18.6356620788574,21.4993534088135,16.5501956939697,17.931319103241,7.60264891624451,12.6189352035522,20.785226316452,22.7355077362061,26.229211807251,1.22,0.75,1.62666666666667,395102,1,0,593x349x485,213x121x155,424x295x376,158x130x166,Brachysomus_hirtus.obj,Brachysomus_hirtus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,3.43625378608704,Curculionidae,TRUE,TRUE,Present,2.62383749776281,1.25361223926583,0.880964935606023,1.039229365889
