"subset","metric","model","n","r_squared","adjusted_r_squared","f_statistic","df1","df2","p_value","aic"
"all_masks","median_3d_thickness_um","thickness_vs_coxa_size",68,0.533775168729343,0.526711156134333,75.5626015030613,1,66,1.53135959416044e-12,-81.7724114542347
"all_masks","median_3d_thickness_um","thickness_vs_size_plus_opening",68,0.551266913900706,0.537459742020728,39.9261281522899,2,65,4.89342568519371e-12,-82.3727137989543
"all_masks","median_3d_thickness_um","thickness_vs_size_by_opening",68,0.5564130416782,0.535619903006866,26.759454186937,3,64,2.46173891041698e-11,-81.1570524916572
"exclude_boundary_touching_masks","median_3d_thickness_um","thickness_vs_coxa_size",65,0.609058477555739,0.602853056564561,98.1494210338897,1,63,1.80114092691942e-14,-90.9018552085578
"exclude_boundary_touching_masks","median_3d_thickness_um","thickness_vs_size_plus_opening",65,0.635082138581706,0.623310594664987,53.9506239007186,2,62,2.67946909481244e-14,-93.3794256296841
"exclude_boundary_touching_masks","median_3d_thickness_um","thickness_vs_size_by_opening",65,0.63570299942922,0.617786753499509,35.4819308644917,3,61,2.137020674877e-13,-91.4901089603272
"all_masks","p10_3d_thickness_um","thickness_vs_coxa_size",68,0.584484184849856,0.578188490680915,92.8387194748565,1,66,3.28167211538194e-14,-127.168855081376
"all_masks","p10_3d_thickness_um","thickness_vs_size_plus_opening",68,0.597149634345132,0.584754238478828,48.1751160500213,2,65,1.46950906925706e-13,-127.273828035188
"all_masks","p10_3d_thickness_um","thickness_vs_size_by_opening",68,0.608498622689201,0.590146995627757,33.1577478471999,3,64,4.71885647153199e-13,-127.217006808625
