trait,model,logLik,AIC,AICc,converged,delta_AICc,akaike_weight,best_model,calibration_scheme
PC4,EB,20.4839141940885,-34.967828388177,-32.7860102063588,TRUE,3.1819667660355,0.130535942019205,BM,updated_195Ma_root_sensitivity
PC5,BM,26.2196237594538,-48.4392475189076,-47.4392475189076,TRUE,0,0.557498807246249,BM,updated_195Ma_root_sensitivity
PC5,OU,27.2829197132015,-48.5658394264029,-46.3840212445847,TRUE,1.0552262743229,0.328930744873317,BM,updated_195Ma_root_sensitivity
PC5,EB,26.2194958170462,-46.4389916340924,-44.2571734522743,TRUE,3.18207406663336,0.113570447880434,BM,updated_195Ma_root_sensitivity
abs_winding_angle_deg,BM,-81.3122584592107,166.624516918421,167.715426009331,TRUE,0.515159732879141,0.402418685494138,EB,updated_195Ma_root_sensitivity
abs_winding_angle_deg,OU,-81.3122584592107,168.624516918421,171.024516918421,TRUE,3.82425064197002,0.076933975907895,EB,updated_195Ma_root_sensitivity
abs_winding_angle_deg,EB,-79.4001331382257,164.800266276451,167.200266276451,TRUE,0,0.520647338597967,EB,updated_195Ma_root_sensitivity
n_turns_abs,BM,1.09319335981116,1.81361328037767,2.90452237128676,TRUE,0.515168272195794,0.402417790923015,EB,updated_195Ma_root_sensitivity
n_turns_abs,OU,1.09319335981117,3.81361328037766,6.21361328037766,TRUE,3.82425918128669,0.0769338048847395,EB,updated_195Ma_root_sensitivity
n_turns_abs,EB,3.00532295045452,-0.0106459009090312,2.38935409909097,TRUE,0,0.520648404192246,EB,updated_195Ma_root_sensitivity
start_end_dist,BM,18.4337709409586,-32.8675418819173,-31.7766327910082,TRUE,2.11730304230155,0.245481415836642,OU,updated_195Ma_root_sensitivity
start_end_dist,OU,21.1469679166549,-36.2939358333097,-33.8939358333097,TRUE,0,0.707595615720191,OU,updated_195Ma_root_sensitivity
start_end_dist,EB,18.4336024382108,-30.8672048764216,-28.4672048764216,TRUE,5.42673095688813,0.0469229684431667,OU,updated_195Ma_root_sensitivity
axial_span,BM,20.5261081089084,-37.0522162178169,-35.9613071269078,TRUE,0,0.603111382762353,BM,updated_195Ma_root_sensitivity
axial_span,OU,21.4190254804417,-36.8380509608834,-34.4380509608834,TRUE,1.52325616602438,0.281596110212551,BM,updated_195Ma_root_sensitivity
axial_span,EB,20.5260241078094,-35.0520482156187,-32.6520482156187,TRUE,3.30925891128906,0.115292507025096,BM,updated_195Ma_root_sensitivity
fit_radius,BM,7.33017370071714,-10.6603474014343,-9.56943831052518,TRUE,0.833102527948032,0.369293548919732,OU,updated_195Ma_root_sensitivity
fit_radius,OU,9.4012704192366,-12.8025408384732,-10.4025408384732,TRUE,0,0.560115558709613,OU,updated_195Ma_root_sensitivity
fit_radius,EB,7.33002843488609,-8.66005686977218,-6.26005686977218,TRUE,4.14248396870103,0.0705908923706547,OU,updated_195Ma_root_sensitivity
centroid_size,BM,-79.8623006713303,163.724601342661,164.724601342661,TRUE,0,0.709792685887041,BM,updated_195Ma_root_sensitivity
centroid_size,OU,-79.855530840425,165.71106168085,167.892879862668,TRUE,3.16827852000756,0.145595710675931,BM,updated_195Ma_root_sensitivity
centroid_size,EB,-79.8623129645357,165.724625929071,167.90644411089,TRUE,3.18184276822908,0.144611603437028,BM,updated_195Ma_root_sensitivity
