term,estimate,std_error,statistic,p_value,response,predictor,n_taxa,lambda,predictor_type,fdr_p_value,calibration_scheme
centroid_size,-0.000991311380220193,0.000366364368777615,-2.70580729105216,0.0179935878483258,PC2,centroid_size,15,1,continuous,0.124570992796102,archived_primary_223Ma_ceiling
centroid_size,-0.000288692192196022,0.000358587782269008,-0.805080949410174,0.435250983214173,PC3,centroid_size,15,0,continuous,0.61207169514493,archived_primary_223Ma_ceiling
centroid_size,-0.000271944940619128,0.000329127686575791,-0.826259691028772,0.423562450656114,PC4,centroid_size,15,0.939690265777566,continuous,0.605089215223021,archived_primary_223Ma_ceiling
centroid_size,-0.000277565127176383,0.000180404549721318,-1.53857054938556,0.147887811802473,PC5,centroid_size,15,0,continuous,0.432888708767909,archived_primary_223Ma_ceiling
centroid_size,-0.00296765401052702,0.477120184757664,-0.00621992970604321,0.995139453646532,abs_winding_angle_deg,centroid_size,14,1,continuous,0.995139514019829,archived_primary_223Ma_ceiling
centroid_size,-8.24338385223576e-06,0.00132533431025163,-0.00621985244664091,0.995139514019829,n_turns_abs,centroid_size,14,1,continuous,0.995139514019829,archived_primary_223Ma_ceiling
centroid_size,0.00033582340968145,0.000272019945932467,1.23455435788089,0.240625697534042,start_end_dist,centroid_size,14,0,continuous,0.506681545831716,archived_primary_223Ma_ceiling
centroid_size,0.00019466111672111,0.000274474527426127,0.709213778584617,0.491741928035244,axial_span,centroid_size,14,0,continuous,0.670557174593515,archived_primary_223Ma_ceiling
centroid_size,0.00073190469827886,0.000629234444336208,1.16316693224091,0.267370244117726,fit_radius,centroid_size,14,0,continuous,0.511985573842453,archived_primary_223Ma_ceiling
n_turns_abs,359.99988388566,7.12845680819721e-05,5050179.77343548,2.44747036330987e-75,abs_winding_angle_deg,n_turns_abs,14,0,continuous,2.20272332697888e-73,updated_195Ma_root_sensitivity
start_end_dist,85.6407158523468,357.766740056086,0.239375845387196,0.814853854505084,abs_winding_angle_deg,start_end_dist,14,1,continuous,0.89435179152997,updated_195Ma_root_sensitivity
axial_span,389.859487521839,400.932852770044,0.972380998035709,0.350054374606637,abs_winding_angle_deg,axial_span,14,1,continuous,0.568721171110466,updated_195Ma_root_sensitivity
fit_radius,-259.84254714758,143.871849344385,-1.80606941755226,0.0960342836055155,abs_winding_angle_deg,fit_radius,14,1,continuous,0.367798054805105,updated_195Ma_root_sensitivity
start_end_dist,0.2378911244269,0.993796824837671,0.239376015782459,0.814853725409129,n_turns_abs,start_end_dist,14,1,continuous,0.89435179152997,updated_195Ma_root_sensitivity
axial_span,1.08294538214081,1.11370257405969,0.9723829390043,0.350053448158647,n_turns_abs,axial_span,14,1,continuous,0.568721171110466,updated_195Ma_root_sensitivity
fit_radius,-0.721784957577415,0.39964417802323,-1.80606899154042,0.0960343533562992,n_turns_abs,fit_radius,14,1,continuous,0.367798054805105,updated_195Ma_root_sensitivity
axial_span,0.24776349791414,0.288823049561661,0.857838383363671,0.40778894303171,start_end_dist,axial_span,14,0,continuous,0.596732536983581,updated_195Ma_root_sensitivity
fit_radius,0.0133580829257084,0.125533224325004,0.106410737058139,0.917014699683604,start_end_dist,fit_radius,14,0,continuous,0.959666546180516,updated_195Ma_root_sensitivity
fit_radius,0.134515132082787,0.105425873017025,1.27592144350623,0.226127323192579,axial_span,fit_radius,14,0.851029392934807,continuous,0.512872508252832,updated_195Ma_root_sensitivity
abs_winding_angle_deg,-0.000430179204151847,0.000296037076832361,-1.45312610418541,0.171834533187386,PC1,abs_winding_angle_deg,14,1,continuous,0.436535616723092,updated_195Ma_root_sensitivity
n_turns_abs,-0.154864348737613,0.106573326241514,-1.45312485027129,0.1718348748584,PC1,n_turns_abs,14,1,continuous,0.436535616723092,updated_195Ma_root_sensitivity
start_end_dist,-0.351014003013553,0.385724595826567,-0.910011979561135,0.380731644901513,PC1,start_end_dist,14,1,continuous,0.590790483467865,updated_195Ma_root_sensitivity
axial_span,-0.53601089358055,0.436485089960434,-1.22801650253194,0.242983405676762,PC1,axial_span,14,1,continuous,0.512872508252832,updated_195Ma_root_sensitivity
fit_radius,0.106446647860436,0.177800188309881,0.598686924194447,0.56051332151977,PC1,fit_radius,14,1,continuous,0.731104332417091,updated_195Ma_root_sensitivity
abs_winding_angle_deg,0.000331505930207424,0.000270510277921634,1.22548367756829,0.243901714541678,PC2,abs_winding_angle_deg,14,1,continuous,0.512872508252832,updated_195Ma_root_sensitivity
n_turns_abs,0.119342051109837,0.0973836724375965,1.22548316491465,0.243901900689055,PC2,n_turns_abs,14,1,continuous,0.512872508252832,updated_195Ma_root_sensitivity
start_end_dist,-0.0302128921429753,0.356356040099102,-0.0847828821270243,0.933832067724541,PC2,start_end_dist,14,1,continuous,0.966033173508146,updated_195Ma_root_sensitivity
axial_span,0.391560141523301,0.3981915077973,0.983346289049001,0.344848512160668,PC2,axial_span,14,1,continuous,0.568721171110466,updated_195Ma_root_sensitivity
fit_radius,-0.0717178495415493,0.159941391462976,-0.44840081035653,0.661852973190453,PC2,fit_radius,14,1,continuous,0.85095382267344,updated_195Ma_root_sensitivity
abs_winding_angle_deg,3.68803253563582e-05,0.000196262543933493,0.187913213684093,0.854084802904096,PC3,abs_winding_angle_deg,14,0,continuous,0.915090860254389,updated_195Ma_root_sensitivity
n_turns_abs,0.0132770221829288,0.0706544913150161,0.187914765725687,0.854083613001579,PC3,n_turns_abs,14,0,continuous,0.915090860254389,updated_195Ma_root_sensitivity
start_end_dist,0.0992446809323552,0.405266479725385,0.244887465155285,0.810681096763832,PC3,start_end_dist,14,0,continuous,0.89435179152997,updated_195Ma_root_sensitivity
axial_span,0.399748456866561,0.402550544689844,0.993039165242116,0.340293348248545,PC3,axial_span,14,0,continuous,0.568721171110466,updated_195Ma_root_sensitivity
