quality_set,tree_id,response,predictor,model_type,dropped_taxon,term,estimate,p_value,lambda,n_taxa,reason,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference,fdr_p_value
main_dataset,working_tree,axial_pitch_360,fit_radius,tree_variant,NA,fit_radius,1.17364597462222e+00,1.30949969976269e-02,0.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,1.96424954964404e-02
main_dataset,working_tree,PC1,abs_winding_angle_deg,tree_variant,NA,abs_winding_angle_deg,-4.03742949570842e-04,6.45104647717931e-02,1.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,8.09137208817031e-02
main_dataset,working_tree,PC1,n_turns_abs,tree_variant,NA,n_turns_abs,-1.45347461845503e-01,6.45104647717931e-02,1.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,8.09137208817030e-02
main_dataset,working_tree,PC1,start_end_dist,tree_variant,NA,start_end_dist,-2.32570434606931e-01,1.81295367983381e-01,1.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,3.72430995769113e-01
main_dataset,working_tree,PC1,axial_span,tree_variant,NA,axial_span,-4.72603091221556e-01,3.87613845505988e-02,1.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,6.05417052814707e-02
main_dataset,working_tree,PC1,axial_pitch_360,tree_variant,NA,axial_pitch_360,-5.50782263083377e-01,6.86789802620151e-02,1.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,2.50928081100377e-01
main_dataset,working_tree,PC1,fit_radius,tree_variant,NA,fit_radius,-2.30633088193523e+00,7.60127283962864e-03,0.994678699663899,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,8.14422089960212e-03
main_dataset,working_tree,PC2,abs_winding_angle_deg,tree_variant,NA,abs_winding_angle_deg,9.44513546113735e-05,6.44810426532738e-01,1.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,9.84394372448375e-01
main_dataset,working_tree,PC2,n_turns_abs,tree_variant,NA,n_turns_abs,3.40024876600945e-02,6.44810426532737e-01,1.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,9.84394372448375e-01
main_dataset,working_tree,PC2,start_end_dist,tree_variant,NA,start_end_dist,6.30801209888807e-02,6.89526866389726e-01,1.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,9.50507841866303e-01
