quality_set,tree_id,trait,model,logLik,AIC,AICc,converged,delta_AICc,akaike_weight,best_model,reason,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference
main_dataset,working_tree,n_turns_abs,BM,-1.5267600795076486,7.053520159015298,8.144429249924388,TRUE,0.0000000000000000,0.56490163937047033,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,n_turns_abs,OU,-0.4185967933448624,6.837193586689725,9.237193586689724,TRUE,1.0927643367653364,0.32710115252392952,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,n_turns_abs,EB,-1.5267608754274853,9.053521750854971,11.453521750854970,TRUE,3.3090925009305820,0.10799720810560021,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,start_end_dist,BM,9.1128664026058779,-14.225732805211756,-13.134823714302666,TRUE,7.3219586885848145,0.02494350371029225,OU,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,start_end_dist,OU,14.4283912014437394,-22.856782402887479,-20.456782402887480,TRUE,0.0000000000000000,0.97028783079003478,OU,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,start_end_dist,EB,9.1128649374864370,-12.225729874972874,-9.825729874972875,TRUE,10.6310525279146049,0.00476866549967304,OU,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,axial_span,BM,13.6663752118624693,-23.332750423724939,-22.241841332815849,TRUE,2.8882617041889169,0.18418425740180039,OU,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,axial_span,OU,16.7650515185023821,-27.530103037004764,-25.130103037004766,TRUE,0.0000000000000000,0.78060363199532279,OU,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,axial_span,EB,13.6663740855916238,-21.332748171183248,-18.932748171183249,TRUE,6.1973548658215165,0.03521211060287686,OU,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,axial_pitch_360,BM,17.3087300297444564,-30.617460059488913,-29.526550968579823,TRUE,0.0000000000000000,0.47276162438954217,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
