quality_set,reconstruction_model,trait,n_trees,estimate_min,estimate_max,estimate_median,ci_lower_min,ci_upper_max
main_dataset,BM,PC1,15,0.0612284693510853,1.25318392551931e-01,7.75635420625023e-02,-0.1576993849753367,0.334677009868369
main_dataset,BM,PC2,15,0.0710993864797541,1.84581723577810e-01,1.06671865427755e-01,-0.0534971688060359,0.303009767099294
main_dataset,BM,PC3,15,0.0024270540594625,5.05056444031096e-02,1.24471288093030e-02,-0.6332278688277039,0.671244406356549
main_dataset,BM,PC4,15,-0.0217701360633998,4.44130699161683e-03,-7.84643901736202e-04,-0.3002273886508375,0.291039079637373
main_dataset,BM,PC5,15,0.0237148600317629,4.78838891797108e-02,3.04476834862719e-02,-0.2747589701646720,0.346938186929395
main_dataset,BM,abs_winding_angle_deg,15,286.8102323254203725,3.39314204721874e+02,3.00934128425264e+02,-37.5651412769342983,627.228548458451314
main_dataset,BM,axial_span,15,0.1467896203385245,1.66748885227462e-01,1.57299596892110e-01,-0.2522647736438312,0.569301827014380
main_dataset,BM,centroid_size,15,104.8206059989834387,1.56892041732905e+02,1.38994417462015e+02,-162.7376099639374729,421.138179112636692
