"response";"predictor";"n_trees";"estimate_min";"estimate_max";"estimate_median";"sign_consistent_positive";"sign_consistent_negative";"p_min";"p_max";"n_nominal_sig";"n_fdr_sig";"lambda_min";"lambda_max";"lambda_median"
"PC5";"n_turns_abs";"11";"-2,69527771398735e-02";"-2,64902615926230e-02";"-2,69527771398735e-02";FALSE;TRUE;"3,91506104690574e-01";"4,05099724631996e-01";"0";"0";"0,000000000000000";"0,0000000000000000";"0,000000000000000"
"PC5";"start_end_dist";"11";"-1,72154616861280e-01";"-6,96903984858010e-02";"-7,66923205356937e-02";FALSE;TRUE;"4,45434106066628e-01";"7,35879033829231e-01";"0";"0";"0,000000000000000";"0,0889732022984464";"0,000000000000000"
"abs_winding_angle_deg";"axial_span";"11";"-6,37550444660183e+02";"5,57047034774270e+02";"2,30925063288545e+02";FALSE;FALSE;"4,49102355150896e-03";"8,20572634063150e-01";"1";"1";"0,989649129839924";"1,0000000000000000";"1,000000000000000"
"abs_winding_angle_deg";"centroid_size";"11";"-7,75483044270769e-01";"2,53595294092575e-01";"-7,38884080495914e-02";FALSE;FALSE;"2,63516273621336e-02";"9,43531125519126e-01";"1";"0";"0,978026550350780";"1,0000000000000000";"1,000000000000000"
"abs_winding_angle_deg";"fit_radius";"11";"-3,28673769172662e+02";"-2,17003699343106e+02";"-2,70884933500766e+02";FALSE;TRUE;"8,85041738563875e-04";"1,18451755588244e-01";"4";"3";"0,983538288926101";"1,0000000000000000";"1,000000000000000"
"abs_winding_angle_deg";"n_turns_abs";"11";"3,59999889346195e+02";"3,59999889405855e+02";"3,59999889405855e+02";TRUE;FALSE;"2,06817860327577e-75";"3,18913467714006e-69";"11";"11";"0,000000000000000";"0,0000000000000000";"0,000000000000000"
"abs_winding_angle_deg";"start_end_dist";"11";"-3,76826653092329e+02";"9,09231502564396e+01";"-1,70187657945015e+02";FALSE;FALSE;"2,60443650398859e-01";"9,20736748797850e-01";"0";"0";"0,939301184408232";"1,0000000000000000";"1,000000000000000"
"axial_span";"centroid_size";"11";"2,01255181869127e-04";"5,25479156223905e-04";"2,01255181869127e-04";TRUE;FALSE;"1,06053251512359e-01";"4,82889986750961e-01";"0";"0";"0,000000000000000";"1,0000000000000000";"0,000000000000000"
"axial_span";"fit_radius";"11";"6,14853654414919e-02";"1,48255273913338e-01";"1,18676067574480e-01";TRUE;FALSE;"1,50897970880968e-01";"6,23387997766000e-01";"0";"0";"0,000000000000000";"1,0000000000000000";"0,832159968896520"
"fit_radius";"centroid_size";"11";"7,40571426231462e-04";"8,77187652055127e-04";"8,31166089498029e-04";TRUE;FALSE;"2,17420767300203e-01";"2,62299079657310e-01";"0";"0";"0,000000000000000";"0,1065072340442585";"0,000000000000000"
"n_turns_abs";"axial_span";"11";"-1,77097023603049e+00";"1,54735499104555e+00";"6,41460867655506e-01";FALSE;FALSE;"4,49114259675799e-03";"8,20571399460053e-01";"1";"1";"0,989649050716729";"1,0000000000000000";"1,000000000000000"
"n_turns_abs";"centroid_size";"11";"-2,15412187656165e-03";"7,04431679748212e-04";"-2,05245464328810e-04";FALSE;FALSE;"2,63513465579721e-02";"9,43531162061074e-01";"1";"0";"0,978026674540999";"1,0000000000000000";"1,000000000000000"
"n_turns_abs";"fit_radius";"11";"-9,12982733254456e-01";"-6,02788121568028e-01";"-7,52458235800726e-01";FALSE;TRUE;"8,85020708146405e-04";"1,18451855823858e-01";"4";"3";"0,983538433462031";"1,0000000000000000";"1,000000000000000"
"n_turns_abs";"start_end_dist";"11";"-1,04673932288543e+00";"2,52563829333633e-01";"-4,72743550604114e-01";FALSE;FALSE;"2,60444363482761e-01";"9,20737011113825e-01";"0";"0";"0,939301210413827";"1,0000000000000000";"1,000000000000000"
"start_end_dist";"axial_span";"11";"2,00927011362323e-01";"4,01966966694653e-01";"2,00927011362323e-01";TRUE;FALSE;"1,33668536353459e-01";"4,50009086437932e-01";"0";"0";"0,000000000000000";"0,0000000000000000";"0,000000000000000"
"start_end_dist";"centroid_size";"11";"1,96121927890473e-04";"3,05087268674196e-04";"3,05087268674196e-04";TRUE;FALSE;"2,35083160165191e-01";"4,77944095602198e-01";"0";"0";"0,000000000000000";"0,0000000000000000";"0,000000000000000"
"start_end_dist";"fit_radius";"11";"1,10178107151042e-02";"1,23334228229186e-02";"1,23334228229186e-02";TRUE;FALSE;"9,14580048062114e-01";"9,20895544544575e-01";"0";"0";"0,000000000000000";"0,0000000000000000";"0,000000000000000"
