quality_set,tree_id,trait,reconstruction_model,node,estimate,variance,CI95_lower,CI95_upper,trait_n_tips,root_node_expected,matched_root,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference
main_dataset,consensus_unrooted,PC3,BM,15,2.67458109611578e-02,1.07586550414314e-03,-3.75429510483589e-02,0.0910345729706745,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1.contree,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41143131210,2.09134337310000,NA
main_dataset,consensus_unrooted,PC4,BM,15,-6.74694126914439e-03,9.20308613120519e-04,-6.62066550942528e-02,0.0527127725559640,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1.contree,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41143131210,2.09134337310000,NA
main_dataset,consensus_unrooted,PC5,BM,15,4.42946137871554e-02,3.39979778714144e-04,8.15507425068302e-03,0.0804341533236279,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1.contree,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41143131210,2.09134337310000,NA
main_dataset,consensus_unrooted,centroid_size,BM,15,1.28050182882333e+02,4.98313536835642e+02,8.42972254610591e+01,171.8031403036067672,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1.contree,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41143131210,2.09134337310000,NA
main_dataset,consensus_unrooted,abs_winding_angle_deg,BM,14,2.86810232325420e+02,3.18673907131127e+03,1.76165861405118e+02,397.4546032457223532,13,14,TRUE,data/phylogeny/P01_Trees/curc_fig1.contree,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41143131210,2.09134337310000,NA
main_dataset,consensus_unrooted,axial_span,BM,14,1.46789620338524e-01,8.29742457809652e-04,9.03313293094687e-02,0.2032479113675802,13,14,TRUE,data/phylogeny/P01_Trees/curc_fig1.contree,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41143131210,2.09134337310000,NA
main_dataset,rooted_ml,PC1,BM,15,1.05183297036886e-01,2.11300323895467e-03,1.50871636971676e-02,0.1952794303766037,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_rooted.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,rooted_ml,PC2,BM,15,1.19652096639199e-01,1.32693647282341e-03,4.82549037392086e-02,0.1910492895391892,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_rooted.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,rooted_ml,PC3,BM,15,2.67468096243869e-02,1.07586720538709e-03,-3.75420032143570e-02,0.0910356224631307,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_rooted.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,rooted_ml,PC4,BM,15,-6.74747771212802e-03,9.20307991069726e-04,-6.62071714423640e-02,0.0527122160181079,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_rooted.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,rooted_ml,PC5,BM,15,4.42950718774682e-02,3.39981179929453e-04,8.15545786711959e-03,0.0804346858878169,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_rooted.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,rooted_ml,centroid_size,BM,15,1.28049496845488e+02,4.98315503365365e+02,8.42964530916148e+01,171.8025405993621462,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_rooted.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,rooted_ml,abs_winding_angle_deg,BM,14,2.86811620097865e+02,3.18677198362324e+03,1.76166677817221e+02,397.4565623785093749,13,14,TRUE,data/phylogeny/P01_Trees/curc_fig1_rooted.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,rooted_ml,axial_span,BM,14,1.46790104200075e-01,8.29752025703545e-04,9.03314876571350e-02,0.2032487207430150,13,14,TRUE,data/phylogeny/P01_Trees/curc_fig1_rooted.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ultrametric,PC1,BM,15,1.04994558166874e-01,1.72781366280786e-03,2.35232812219118e-02,0.1864658351118355,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.49720520480,10.43444573521000,NA
main_dataset,ultrametric,PC2,BM,15,1.25141595452301e-01,1.34936387189717e-03,5.31435659634315e-02,0.1971396249411712,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.49720520480,10.43444573521000,NA
main_dataset,ultrametric,PC3,BM,15,2.05421393743286e-02,1.10191525415240e-03,-4.45202740481063e-02,0.0856045527967636,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.49720520480,10.43444573521000,NA
main_dataset,ultrametric,PC4,BM,15,-8.76767332199581e-03,7.91065251320661e-04,-6.38944024964485e-02,0.0463590558524569,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.49720520480,10.43444573521000,NA
main_dataset,ultrametric,PC5,BM,15,3.82939334837273e-02,2.92262805099287e-04,4.78637027675236e-03,0.0718014966907022,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.49720520480,10.43444573521000,NA
main_dataset,ultrametric,centroid_size,BM,15,1.29384882395233e+02,4.11997451329345e+02,8.96013505129727e+01,169.1684142774930706,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.49720520480,10.43444573521000,NA
main_dataset,ultrametric,abs_winding_angle_deg,BM,14,3.01886884827963e+02,2.53847604908564e+03,2.03135633746433e+02,400.6381359094935988,13,14,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.49720520480,10.43444573521000,NA
main_dataset,ultrametric,axial_span,BM,14,1.52463208271636e-01,6.97700998729868e-04,1.00691708807929e-01,0.2042347077353437,13,14,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.49720520480,10.43444573521000,NA
main_dataset,grafen,PC1,BM,15,1.25318392551931e-01,5.35799527165112e-04,7.99495986120710e-02,0.1706871864917915,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_grafen.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.92307692298,4.53846153818000,NA
main_dataset,grafen,PC2,BM,15,1.84581723577810e-01,7.04512203920019e-04,1.32558131981504e-01,0.2366053151741146,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_grafen.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.92307692298,4.53846153818000,NA
main_dataset,grafen,PC3,BM,15,5.05056444031096e-02,1.28398093918299e-03,-1.97264079374378e-02,0.1207376967436570,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_grafen.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.92307692298,4.53846153818000,NA
main_dataset,grafen,PC4,BM,15,-2.17701360633998e-02,6.06583716687568e-04,-7.00428199128292e-02,0.0265025477860296,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_grafen.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.92307692298,4.53846153818000,NA
main_dataset,grafen,PC5,BM,15,4.78838891797108e-02,3.65948603585756e-04,1.03895141944541e-02,0.0853782641649675,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_grafen.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.92307692298,4.53846153818000,NA
main_dataset,grafen,centroid_size,BM,15,1.04820605998983e+02,3.03441602661014e+02,7.06782384656306e+01,138.9629735323363207,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_grafen.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.92307692298,4.53846153818000,NA
main_dataset,grafen,abs_winding_angle_deg,BM,14,3.39314204721874e+02,2.10493681468063e+03,2.49390207550501e+02,429.2382018932466394,13,14,TRUE,data/phylogeny/P01_Trees/curc_fig1_grafen.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.92307692298,4.53846153818000,NA
main_dataset,grafen,axial_span,BM,14,1.66748885227462e-01,1.03288903266711e-03,1.03757246830814e-01,0.2297405236241092,13,14,TRUE,data/phylogeny/P01_Trees/curc_fig1_grafen.tre,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,1.92307692298,4.53846153818000,NA
main_dataset,with_caridae_calibrated,PC1,BM,16,6.12284693510853e-02,1.69106804800368e-03,-1.93718222936161e-02,0.1418287609957868,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_withCaridae_calibrated.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,190.36440163600,1948.52462195399994,0
main_dataset,with_caridae_calibrated,PC2,BM,16,7.10993864797541e-02,1.53379567702199e-03,-5.66147251001811e-03,0.1478602454695263,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_withCaridae_calibrated.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,190.36440163600,1948.52462195399994,0
main_dataset,with_caridae_calibrated,PC3,BM,16,2.42705405946250e-03,1.38951415004420e-03,-7.06342733224692e-02,0.0754883814413942,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_withCaridae_calibrated.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,190.36440163600,1948.52462195399994,0
main_dataset,with_caridae_calibrated,PC4,BM,16,4.44130699161683e-03,7.58848176734416e-04,-4.95512031902865e-02,0.0584338171735202,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_withCaridae_calibrated.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,190.36440163600,1948.52462195399994,0
main_dataset,with_caridae_calibrated,PC5,BM,16,2.37148600317629e-02,3.52324773234647e-04,-1.30749598761712e-02,0.0605046799396969,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_withCaridae_calibrated.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,190.36440163600,1948.52462195399994,0
main_dataset,with_caridae_calibrated,centroid_size,BM,16,1.56892041732905e+02,5.35579591160731e+02,1.11532560283013e+02,202.2515231827963191,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_withCaridae_calibrated.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,190.36440163600,1948.52462195399994,0
main_dataset,with_caridae_calibrated,abs_winding_angle_deg,BM,15,3.05372104966628e+02,1.49742631630094e+03,2.29526782522185e+02,381.2174274110723786,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_withCaridae_calibrated.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,190.36440163600,1948.52462195399994,0
main_dataset,with_caridae_calibrated,axial_span,BM,15,1.57353821406707e-01,6.69637355338033e-04,1.06634211153211e-01,0.2080734316602038,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_withCaridae_calibrated.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,190.36440163600,1948.52462195399994,0
main_dataset,ultrametric_with_caridae,PC1,BM,16,7.78484326884490e-02,3.32911454817244e-03,-3.52405873279047e-02,0.1909374527048027,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric_withCaridae_correct.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,1.00000000003,7.45410652886000,0
main_dataset,ultrametric_with_caridae,PC2,BM,16,1.07305769608688e-01,2.53677072903261e-03,8.58769409740319e-03,0.2060238451199724,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric_withCaridae_correct.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,1.00000000003,7.45410652886000,0
main_dataset,ultrametric_with_caridae,PC3,BM,16,1.25723366462569e-02,7.62882633001837e-03,-1.58620242718033e-01,0.1837649160105464,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric_withCaridae_correct.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,1.00000000003,7.45410652886000,0
main_dataset,ultrametric_with_caridae,PC4,BM,16,-8.42893021204738e-04,2.35795506748628e-03,-9.60181008605117e-02,0.0943323148181022,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric_withCaridae_correct.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,1.00000000003,7.45410652886000,0
main_dataset,ultrametric_with_caridae,PC5,BM,16,3.05540122811670e-02,1.75188700183917e-03,-5.14828642212045e-02,0.1125908887835385,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric_withCaridae_correct.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,1.00000000003,7.45410652886000,0
main_dataset,ultrametric_with_caridae,centroid_size,BM,16,1.38659614055567e+02,1.87303865376608e+03,5.38335255432004e+01,223.4857025679326625,15,16,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric_withCaridae_correct.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,1.00000000003,7.45410652886000,0
main_dataset,ultrametric_with_caridae,abs_winding_angle_deg,BM,15,2.98721848219542e+02,3.78046673749778e+03,1.78210267785248e+02,419.2334286538371089,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric_withCaridae_correct.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,1.00000000003,7.45410652886000,0
main_dataset,ultrametric_with_caridae,axial_span,BM,15,1.58656310335519e-01,3.29633565184302e-03,4.61254121780786e-02,0.2711872084929589,14,15,TRUE,data/phylogeny/P01_Trees/curc_fig1_ultrametric_withCaridae_correct.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,1.00000000003,7.45410652886000,0
main_dataset,historical_223_calibration,PC1,BM,16,7.09973141437437e-02,2.26522060521479e-03,-2.22875800084885e-02,0.1642822082959758,15,16,TRUE,data/phylogeny/P01_Trees/candidate_historical_223.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,223.00000001300,2084.37987039000018,0
main_dataset,historical_223_calibration,PC2,BM,16,8.61620443871105e-02,1.94703919494006e-03,-3.23479090993894e-04,0.1726475678652148,15,16,TRUE,data/phylogeny/P01_Trees/candidate_historical_223.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,223.00000001300,2084.37987039000018,0
main_dataset,historical_223_calibration,PC3,BM,16,7.47880507819519e-03,1.98224881481703e-03,-7.97852026626891e-02,0.0947428128190795,15,16,TRUE,data/phylogeny/P01_Trees/candidate_historical_223.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,223.00000001300,2084.37987039000018,0
main_dataset,historical_223_calibration,PC4,BM,16,1.88596152312778e-03,1.07044654170347e-03,-6.22406899925101e-02,0.0660126130387657,15,16,TRUE,data/phylogeny/P01_Trees/candidate_historical_223.tre,existing_file,Imported from phylogeny workflow outputs.,15,TRUE,TRUE,223.00000001300,2084.37987039000018,0
