quality_set,tree_id,trait,method,estimate,statistic,p_value,reason,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference
primary_adequate,working_tree,axial_pitch_360,Pagel_lambda,1.05378189733347e+00,19.627210236896889,2.67729867798925e-01,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,fit_radius,Blomberg_K,1.24826189202857e+00,NA,1.20000000000000e-02,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,fit_radius,Pagel_lambda,1.12351710335528e+00,31.735223695013008,3.35784215733620e-03,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,centroid_size,Blomberg_K,1.18765823430799e+00,NA,1.60000000000000e-02,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,centroid_size,Pagel_lambda,1.13655008655893e+00,-74.424790091422437,9.95639855173068e-02,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,ml_unrooted,PC1,Blomberg_K,1.34019261743387e+00,NA,2.80000000000000e-02,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,PC1,Pagel_lambda,9.99926686256414e-01,10.686479594926283,2.11885928342142e-02,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,PC2,Blomberg_K,1.99694021011181e+00,NA,4.00000000000000e-03,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,PC2,Pagel_lambda,9.99926686256414e-01,12.307879155966006,3.40700400419289e-03,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,PC3,Blomberg_K,8.36996587105746e-01,NA,1.87000000000000e-01,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,PC3,Pagel_lambda,7.33137435857406e-05,15.784661778726520,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,PC4,Blomberg_K,6.51299134381178e-01,NA,5.06000000000000e-01,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
