quality_set,term,numDF,F-value,p-value,response,predictor,analysis_set
main_dataset,(Intercept),1,0.14580892907650514,7.09249006832300e-01,PC3,n_turns_abs,main_pcm_matrix
main_dataset,n_turns_abs,1,0.05826948509501026,8.13327721703505e-01,PC3,n_turns_abs,main_pcm_matrix
main_dataset,(Intercept),1,0.4373957893703314,5.20878703021416e-01,PC3,start_end_dist,main_pcm_matrix
main_dataset,start_end_dist,1,0.32527738012747626,5.78975816720575e-01,PC3,start_end_dist,main_pcm_matrix
main_dataset,(Intercept),1,5.0427416253029405,4.43470567187736e-02,PC3,axial_span,main_pcm_matrix
main_dataset,axial_span,1,23.257185771080607,4.17215146160931e-04,PC3,axial_span,main_pcm_matrix
main_dataset,(Intercept),1,0.04574179777598094,8.34236717867363e-01,PC3,axial_pitch_360,main_pcm_matrix
main_dataset,axial_pitch_360,1,0.20936485280683223,6.55439578562797e-01,PC3,axial_pitch_360,main_pcm_matrix
main_dataset,(Intercept),1,0.2954413794354929,5.96707799582014e-01,PC3,fit_radius,main_pcm_matrix
main_dataset,fit_radius,1,0.39354658110081436,5.42193805305297e-01,PC3,fit_radius,main_pcm_matrix
main_dataset,(Intercept),1,3.145889847384249,1.01473730029679e-01,PC4,abs_winding_angle_deg,main_pcm_matrix
main_dataset,abs_winding_angle_deg,1,4.560536329875172,5.40188059701693e-02,PC4,abs_winding_angle_deg,main_pcm_matrix
main_dataset,(Intercept),1,3.145889847384249,1.01473730029679e-01,PC4,n_turns_abs,main_pcm_matrix
main_dataset,n_turns_abs,1,4.560536329875172,5.40188059701694e-02,PC4,n_turns_abs,main_pcm_matrix
main_dataset,(Intercept),1,3.261955333563179,9.60311745309774e-02,PC4,start_end_dist,main_pcm_matrix
main_dataset,start_end_dist,1,4.568799800089368,5.38328880763145e-02,PC4,start_end_dist,main_pcm_matrix
main_dataset,(Intercept),1,2.736182435726074,1.23999348913464e-01,PC4,axial_span,main_pcm_matrix
main_dataset,axial_span,1,9.920070948971032,8.38092864190538e-03,PC4,axial_span,main_pcm_matrix
main_dataset,(Intercept),1,4.345737398673062,5.91343195378550e-02,PC4,axial_pitch_360,main_pcm_matrix
main_dataset,axial_pitch_360,1,8.088539635492307,1.47855496071571e-02,PC4,axial_pitch_360,main_pcm_matrix
main_dataset,(Intercept),1,1.9089131224481624,1.92265861299280e-01,PC4,fit_radius,main_pcm_matrix
main_dataset,fit_radius,1,1.8092182907890042,2.03471468495632e-01,PC4,fit_radius,main_pcm_matrix
main_dataset,(Intercept),1,1.4265336462567526,2.55405591901817e-01,PC5,abs_winding_angle_deg,main_pcm_matrix
main_dataset,abs_winding_angle_deg,1,1.2024897447286431,2.94343322634805e-01,PC5,abs_winding_angle_deg,main_pcm_matrix
main_dataset,(Intercept),1,1.4265336462567288,2.55405591901818e-01,PC5,n_turns_abs,main_pcm_matrix
main_dataset,n_turns_abs,1,1.2024897447286431,2.94343322634806e-01,PC5,n_turns_abs,main_pcm_matrix
main_dataset,(Intercept),1,0.04373670197889873,8.37852369484166e-01,PC5,start_end_dist,main_pcm_matrix
