quality_set,term,estimate,std_error,statistic,p_value,response,predictor,n_taxa,lambda,predictor_type,analysis_set,fdr_family,fdr_p_value
main_dataset,(Intercept),-1.72830739728738e-01,1.03712941774824e-01,-1.66643368485274e+00,1.21494221787290e-01,axial_span,fit_radius,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.67287287932039e-01
main_dataset,fit_radius,1.38267883071092e+00,4.38333535584078e-01,3.15439891877883e+00,8.30679662249798e-03,axial_span,fit_radius,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,5.76188844130995e-02
main_dataset,(Intercept),-1.27872712501628e-01,9.54460300919003e-02,-1.33973840900985e+00,2.05150099693235e-01,axial_pitch_360,fit_radius,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,3.52601733847748e-01
main_dataset,fit_radius,1.17364597462222e+00,4.03394167706490e-01,2.90942722671233e+00,1.30949969976269e-02,axial_pitch_360,fit_radius,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,8.47323335140565e-02
main_dataset,(Intercept),1.69055531364130e-01,7.53445143375110e-02,2.24376695305028e+00,4.44941539784776e-02,PC1,abs_winding_angle_deg,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,abs_winding_angle_deg,-4.03742949570842e-04,1.98359343184133e-04,-2.03541180914305e+00,6.45104647717931e-02,PC1,abs_winding_angle_deg,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,(Intercept),1.69055531364130e-01,7.53445143375110e-02,2.24376695305028e+00,4.44941539784776e-02,PC1,n_turns_abs,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,n_turns_abs,-1.45347461845503e-01,7.14093635462878e-02,-2.03541180914305e+00,6.45104647717931e-02,PC1,n_turns_abs,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,(Intercept),1.33572778288914e-01,7.71813578816917e-02,1.73063524606114e+00,1.09123944728670e-01,PC1,start_end_dist,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.50075706669870e-01
main_dataset,start_end_dist,-2.32570434606931e-01,1.63876181448393e-01,-1.41918387743353e+00,1.81295367983381e-01,PC1,start_end_dist,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,3.32374841302866e-01
main_dataset,(Intercept),1.16076791321868e-01,5.57674997012335e-02,2.08144155545314e+00,5.94708168000091e-02,PC1,axial_span,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,axial_span,-4.72603091221556e-01,2.03700950246091e-01,-2.32008289922361e+00,3.87613845505988e-02,PC1,axial_span,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,(Intercept),1.36750685342167e-01,6.52868864259810e-02,2.09461184057548e+00,5.80979863985915e-02,PC1,axial_pitch_360,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,axial_pitch_360,-5.50782263083377e-01,2.75418527828919e-01,-1.99980105704982e+00,6.86789802620151e-02,PC1,axial_pitch_360,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.79873519733849e-01
main_dataset,(Intercept),6.01428436428148e-01,1.75483666419348e-01,3.42726162895944e+00,5.01092922144086e-03,PC1,fit_radius,14,0.994678699663899,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.24001703352688e-02
main_dataset,fit_radius,-2.30633088193523e+00,7.20230564006324e-01,-3.20221189879270e+00,7.60127283962864e-03,PC1,fit_radius,14,0.994678699663899,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,5.76188844130995e-02
main_dataset,(Intercept),6.27473008779125e-02,7.58737310360392e-02,8.26996379657516e-01,4.24379017766045e-01,PC2,abs_winding_angle_deg,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,5.83521149428312e-01
main_dataset,abs_winding_angle_deg,9.44513546113735e-05,1.99752610864536e-04,4.72841652494978e-01,6.44810426532738e-01,PC2,abs_winding_angle_deg,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,7.62678999124744e-01
main_dataset,(Intercept),6.27473008779125e-02,7.58737310360392e-02,8.26996379657515e-01,4.24379017766045e-01,PC2,n_turns_abs,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,5.83521149428312e-01
main_dataset,n_turns_abs,3.40024876600945e-02,7.19109399112330e-02,4.72841652494978e-01,6.44810426532737e-01,PC2,n_turns_abs,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,7.62678999124744e-01
main_dataset,(Intercept),6.81984597372055e-02,7.25841394380585e-02,9.39577988596315e-01,3.65962650601809e-01,PC2,start_end_dist,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,5.22803786574013e-01
main_dataset,start_end_dist,6.30801209888807e-02,1.54115085964927e-01,4.09305296713368e-01,6.89526866389726e-01,PC2,start_end_dist,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,7.98399529503893e-01
main_dataset,(Intercept),8.01551455987594e-02,5.85530798078375e-02,1.36893133310522e+00,1.96099722796336e-01,PC2,axial_span,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,3.47918863025758e-01
main_dataset,axial_span,7.03430400054208e-02,2.13875788955765e-01,3.28896694426547e-01,7.47902696335179e-01,PC2,axial_span,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,8.31002995927976e-01
main_dataset,(Intercept),8.20116275630556e-02,6.59779477925955e-02,1.24301573945378e+00,2.37601361429116e-01,PC2,axial_pitch_360,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,3.84355143488276e-01
main_dataset,axial_pitch_360,4.78395851612118e-02,2.78333831569866e-01,1.71878441407520e-01,8.66397631038643e-01,PC2,axial_pitch_360,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,9.16382109752411e-01
main_dataset,(Intercept),-2.40423333536050e-01,1.85668530766703e-01,-1.29490621024059e+00,2.19712930262990e-01,PC2,fit_radius,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,3.71691422839137e-01
main_dataset,fit_radius,1.39535297927262e+00,7.61782821025417e-01,1.83169394315609e+00,9.19206245773285e-02,PC2,fit_radius,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.35145783802468e-01
main_dataset,(Intercept),-2.93738094409006e-02,7.69251254208628e-02,-3.81849353903479e-01,7.09249006832301e-01,PC3,abs_winding_angle_deg,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,8.04302997438691e-01
main_dataset,abs_winding_angle_deg,5.12634446490029e-05,2.12367079715263e-04,2.41390731170461e-01,8.13327721703506e-01,PC3,abs_winding_angle_deg,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,8.85802469182036e-01
main_dataset,(Intercept),-2.93738094409006e-02,7.69251254208627e-02,-3.81849353903480e-01,7.09249006832300e-01,PC3,n_turns_abs,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,8.04302997438691e-01
main_dataset,n_turns_abs,1.84548400736411e-02,7.64521486974945e-02,2.41390731170462e-01,8.13327721703505e-01,PC3,n_turns_abs,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,8.85802469182036e-01
main_dataset,(Intercept),-7.54924295590839e-02,1.14147420941430e-01,-6.61359047243123e-01,5.20878703021416e-01,PC3,start_end_dist,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,6.66240201539020e-01
main_dataset,start_end_dist,1.94037704257456e-01,3.40219495287901e-01,5.70330939128745e-01,5.78975816720575e-01,PC3,start_end_dist,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,7.15588088081610e-01
