"specimen_id";"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"PC7";"PC8";"PC9";"PC10";"PC11";"PC12";"PC13";"PC14";"PC15";"PC16";"PC17";"PC18";"PC19";"PC20";"PC21";"PC22";"PC23";"PC24";"PC25";"PC26";"PC27";"PC28";"PC29";"PC30";"PC31";"PC32";"PC33";"PC34";"PC35";"PC36";"PC37";"PC38";"PC39";"PC40";"PC41";"PC42";"PC43";"PC44";"PC45";"PC46";"PC47";"PC48";"PC49";"PC50";"PC51";"PC52";"PC53";"PC54";"PC55";"PC56";"PC57";"PC58";"PC59";"PC60";"PC61";"PC62";"PC63";"PC64";"PC65";"PC66";"PC67";"PC68"
"15_mononychus_punctumalbum_trochanter_aligned";-0,0597531029243682;0,033584426259109;-0,050728346525339;0,0400444921572844;-0,0237145978746862;0,0394096722087911;-0,0104618222351223;0,0331709276590452;-0,0224234507659103;-0,0137046570779144;0,0247671190279711;-0,0193038967726717;0,0162343043194409;-0,00778431037822788;0,0294991036443403;-0,0127072594888969;0,018764476493186;-0,0158192984324478;0,0013275655171804;-0,00996767111061462;0,00545987594368214;-0,0187320409686198;0,0159082281366554;-0,0057879703580434;0,00394464604988161;0,00596564477503314;-0,0304041059702909;-0,00275494470576568;0,00307843528945099;0,00486973169559996;0,00599424118919983;0,00689659637915105;-0,00209646481382372;-0,0199227901545511;-0,00254985887841764;0,00919732519377393;0,00817852102601773;0,0099873804795233;0,00654093493132981;-0,00668212000233551;-0,000982218752916396;-0,0175375084393972;-0,000217510946282224;-0,000367630675587266;0,00440789560194388;0,0080788467026483;0,00268419682945154;0,01364701124486;0,00450275822402351;-0,00371701864878039;-0,00372957993257803;-0,00399923703572762;-0,00802754747300663;-0,00801494696806734;-0,000809168378286206;-0,00284824638247875;-0,000353593473699112;0,00726249902812153;0,0209187767385654;0,0198444327435144;-0,00693731135098474;-0,00370709818533833;-0,0052244753657264;-0,00728956500551948;-0,00465157752030584;0,00421640839658526;0,00105377949474987;-1,41430180388298e-17
"240_anthribus_nebulosus_trochanter_aligned";0,086501364683664;0,349577031528217;0,0100603207024737;-0,0209344302637475;-0,0386286460976327;0,0703337715638678;0,0520707477366113;0,0993880948712722;-0,0201535579118792;-0,0197299005413653;-0,063598457521087;0,0606065451677734;0,0719820798139082;-0,0443734240813922;-0,0248222960306803;0,0370904224497594;-0,0124581427460406;-0,0233237307939353;-0,0432946176172078;0,0663422045158369;-0,0282151141716697;0,0458409704971694;-0,00235443216103011;0,0222860075798941;0,00782892554768708;-0,00178494525986513;-0,0165224846369613;0,0135050609142913;0,00304200723419758;0,00760451127687305;0,0150547687055227;-0,00278258494808999;0,00304277809980999;0,00905775304326477;-0,00356346316927093;0,00976397396030227;-0,011027580415164;-0,0169573820760625;-0,00366607939463553;-0,00239489470972496;0,00171793147816883;-0,00209455681287835;-0,00304918735346444;-0,00275268364185405;0,00329039301404585;0,00482235908733095;0,00501079120296656;-0,000527752031459223;-0,0026958755099142;-0,00304295747533069;-0,00138466954231853;-0,00335872809273843;0,000699693887718049;0,000644725385601985;0,00081214648694132;0,00408772387472473;-0,00152172047141344;0,00148088309463516;-0,000609583087747006;0,00121678540543726;-0,000506101225383107;-9,1358773729049e-05;0,000616391849065055;-0,0010941250029628;0,000720685102185235;-0,000674979361394794;-0,000671353368025965;3,30473109418491e-17
"291_basilogeus_dacrycarpi_trochanter_aligned";0,117401661878529;0,201426844529295;0,120392623330458;-0,0372182404061579;0,0171471057879067;-0,13436241197288;-0,00847314763727374;-0,0399989912891714;0,0310418074902257;0,0169141744891938;-0,0177311911564691;-0,0457295450416939;-0,0263032347252622;0,0470568901006024;0,0928297673691619;0,0411520204503403;0,136602910271364;0,0298227853836058;0,0145174657257429;0,0217841945013494;-0,00354305757658248;0,0327524099932292;-0,0232211546832224;-0,0117379058507973;0,0144089077264914;-0,00219159267837681;-0,0153261040161851;-0,0102321015743765;0,00944777218857823;-0,0028639421006705;-0,00230504468464278;0,00246768323307301;-0,00164488012296888;-0,00804933625918106;0,00199449926825312;0,00182919253073437;0,0048759045182486;-0,00598424980843643;-0,00181584172563277;-0,00280858934811282;0,00447773522956238;0,00231660879822383;-0,00211500167187586;0,000921542052952662;0,000618909615281334;-0,000602096290619247;-0,00131685886333724;0,00224937289652201;0,00303124263364678;-0,0013914367067594;0,00298072994181368;-0,0012804894040653;-0,00252890888843383;0,000575955633562085;0,000909584307950873;-0,000551554280493937;0,00123111728185454;0,000789207802907771;-0,0019355907124455;-0,00218593173704328;0,00160858662015465;-0,000297751520652426;-0,00103284806979475;0,000282472181045155;-0,000153378361859161;2,11431926197663e-05;-5,70031059642357e-05;1,47580801448111e-17
"300_phaenomerus_foveipennis_trochanter_aligned";-0,0404151511003664;-0,0492489576868542;0,0284800130173615;0,0325518952281954;-0,0451783561562445;0,00831732198068018;-0,0786911425824498;-0,0176805864443449;0,00574016948787604;0,06979852825753;0,0884504470417105;0,0868025491747419;-0,0321168753155091;0,0102498437422509;-0,0650471915442605;0,00945522540127275;0,0334702285584121;0,0303998928301785;-0,0206423743549408;0,0497010520999395;0,0422867063612584;0,0083627260838917;0,00290841570281679;-0,025875773991599;-0,0131663292494947;-0,013535589301156;-0,000365909881843623;0,00950293282781153;-0,000907451787594338;0,0345933425251387;0,013340959426471;-0,0202587571508206;0,0152312977887314;-0,0128892543389449;-0,0248599923272618;-1,28325728515965e-05;0,00936118004474416;0,00682279832357555;0,0166388965122298;-0,00744783880886605;0,00637898553537792;-0,000173558092860197;0,00498344417406755;0,00132712088337532;0,00406168015436695;0,00322578976746492;-0,00963774779742291;-0,00611990445252809;0,00616682024758418;0,00475867099915486;-0,00557020377582306;0,00296165663220033;0,00338955849310978;-0,00560136658295165;-0,00181521542226183;0,00150321240709299;-0,00574226710100383;0,00472892040415117;-0,0028552047983405;-0,00315271626517402;-0,00219565411647745;-0,00167988823167435;0,00222204507528512;-0,00289487367910414;0,000205768418567348;-0,000654306635645348;0,00019189590960863;1,26906805611125e-17
"301_scobinoides_dentatus_trochanter_aligned";0,044863879299059;0,0495857482000782;-0,0772248043011543;0,0414769606265085;-0,0171005012499171;-0,0144729548415709;-0,0365077687943594;0,0583870835975215;-0,000820816029396061;-0,0102438197992336;0,00359701104042594;0,0284574666352128;0,000755859923180351;-0,0671926571446111;0,0364611782569093;0,000268445078360944;0,00368778917762089;0,0243296394823159;0,022525441907963;-0,0178259665280193;0,0191470390643165;0,0116994881881487;0,0262255866427383;-0,00344254956891915;-0,0267620216405165;-0,0240295531785162;-0,0022822255314941;-0,0139488862803709;0,00134107057161073;0,0150425536495619;-0,0317091713852656;0,019004785884146;-0,000805254563231404;-0,00262688122959908;-0,0288735767260199;-0,0107316427423384;-0,0256068759927362;-0,00505670539721161;0,0013963181492044;0,0248401915367375;0,0131762362040957;0,0040879904864228;-0,0104846620575917;0,00673089000281908;-0,012996017008627;0,000858205829669701;0,00501680282343553;0,00202024534066697;0,00076555080706815;0,0100464748193232;0,0132750220233189;0,00648671226643817;-0,00168501563731829;-0,00626531670470814;0,0027221071596101;0,00298165924207642;-0,00342965031547308;-0,0117181566906285;0,00126978724946171;0,000338688111446008;0,00361348082863511;0,00127364620748734;-0,00225029071388818;-0,00307363357718726;-0,00264107861048901;0,00213148116306493;-0,00460487400164092;4,7876091107213e-17
"302_trochanter_aligned";0,0996759331912762;0,035043365018493;-0,00836802658580859;0,0591169702348868;-0,0672935063428957;-0,0650355764826964;-0,0871105568842788;0,00013270023794961;0,0511202583707097;0,0344457291609216;-0,0376907799089091;0,025168791498269;0,0248048615720398;0,014675351561188;-0,0409698555151327;0,0116332655169561;0,0122580426590058;-0,0292840750490728;0,0236293886046555;0,00371684132466106;0,0354074140725477;-0,000163230099365302;0,0751898831108607;0,00705043388873158;-0,0155095846515277;0,00134890775521205;0,0163642852616154;-0,0379892648125713;-0,0111207268770858;0,00892895200080762;0,00919929939499974;0,00410081136367196;-0,0183623242738295;-0,0137245589574746;0,0333951477469988;0,0191154146323977;0,00177045355771964;-0,00825937533640311;-0,0074523794540972;-0,00364694771619987;-0,000783882365524566;-9,22923636954316e-05;0,0016525685729828;0,00773921447389475;-0,00286821434783324;-0,00578286907626139;0,00498007496543882;0,00191290572945716;-0,00364247447440563;0,00223253186445113;0,00108842709199574;-0,000996436742118207;-0,00116338289684633;0,00769731698529331;-0,00434375701996189;0,00145831033488978;0,0109521731320836;0,00290496446256186;-0,00668000813101105;0,00627039899991241;-0,00119228627276112;0,000915333197298751;0,00110046843944752;-0,000257759484304737;0,00222278681304127;-0,00212796925368948;-0,0017583926616519;1,07760877911244e-16
"303_perapion_curtirostre_trochanter_aligned";0,270528684623989;-0,0736935917931648;-0,0392040377209886;0,0616000302236869;-0,00480433254232976;0,0530515578950758;0,00685042306647308;0,00615780042403084;0,064967040330127;-0,0268653983994287;-0,0401811680561341;0,0918022891102857;0,00546113338415245;0,0968954249373247;0,0462827403523858;0,00751662918241023;-0,0258940913738191;0,00979457227663674;0,0238857289111408;-0,0259834184739711;-0,00616033240035431;-0,0103226755273333;-0,0111474039376046;0,00614113764671168;-0,00689796777130202;0,00374335229075128;-0,0254182481057897;-0,0254402665817644;0,028125261082298;0,0229566944945515;0,0233321547904042;-0,00620004295963717;-0,00618647401950497;0,0237149348398778;-0,00192256148378656;-0,0128384307605212;-0,0218131783221805;0,0127523752645767;0,00270804243942226;-0,0113274435477459;-0,00945716974523402;0,0061281440989674;0,00513368958891423;-0,0126225321026408;0,000865082235808299;0,00426111736041472;-0,00601120921089821;-0,00219983406544156;0,00147785595841348;-0,0047156124783953;-0,000378063823270677;0,00471739241180142;-0,00931701386771749;0,000332770984455727;-0,0020291459731418;0,00547365126230123;-0,00324052730566407;-0,00320319043065442;-0,00454216056446831;0,00222954280513695;-0,0038121904100003;-0,00133716678083572;0,000242602671507907;-0,00017509390047107;-0,00172878720078818;-0,000446862167201802;0,00118437735416939;-7,34497855748562e-17
"304_merynchites_trochanter_aligned";0,0599551714996465;0,0428392181510069;-0,181288776494319;-0,0975343185534958;0,00583921618635816;0,0689661122079661;0,0355930897492905;-0,02992634019848;0,0608588970112945;0,0747656840645861;-0,00899333063469363;-0,0225259125748761;-0,0430558404198425;-0,00229457738262157;-0,00885685697949291;0,0130723002593515;-0,00458974939268542;-0,0414589062213458;0,0187836979425144;-0,0279028493355666;0,00612837037786622;0,0254277260447588;-0,00170381738633018;-0,00190714928518722;0,00532500375840248;0,00995105913840596;0,0150921570448185;0,012389961632233;0,0141862507535833;-0,0248538912199413;0,0474331457581634;-0,00469378397164294;-0,000368331505005825;-0,0131055769711385;-0,00479569344302345;-0,00654771244279903;-0,00655073396762556;0,00853549062041997;-0,00423456927285057;0,000569476025074067;0,00773432354913721;-0,00836314635935359;-0,013529178378758;0,0179979748532993;0,0116000168021742;0,00237942136458637;-0,00366699641370863;-0,00307389273030984;0,0111324073746089;0,00696310755834738;0,017929218584674;0,00164231964884349;0,0010192494560079;0,0054146660638732;0,00640418003728489;0,000798031390742766;-0,0042818221911923;0,0024218360307913;0,00204951303209395;-0,00294195960504942;0,000798294516999183;0,00133074146432594;0,00241862048074704;-0,00538155427748392;-0,00232238926062004;-0,00314313620794056;-0,00218485458726488;-6,03631991783899e-18
"305_euplatypus_paralellus_trochanter_aligned";-0,0393689934749423;-0,0262890418285976;-0,171648674693338;0,0581366251570629;0,0820345125990987;-0,137148784341601;0,0845760794216402;0,0404635448300566;-0,133618169765245;0,0174779450016374;-0,0150568082459962;0,0394777713015544;-0,0317274759418541;0,0360988230460484;-0,00444356755336848;-0,0211390242770168;-0,0106831724389554;0,011262428353519;-0,00276185990936696;0,0322937844280719;-0,0194331619592699;-0,0079749771543389;-0,0185561781662506;-0,00320292763010562;-0,00932924062140818;-0,00135135881727334;0,0202936140036276;-0,0306945571959556;-0,0214936349020407;0,00148302999180173;0,0266225113157481;0,0195671386176796;-0,0208841531261095;0,000995680754953809;-0,00926815171503921;-0,0192930391300702;0,0156057763920901;-0,0109032773253817;0,0072432856965656;-0,00688222488160586;0,0110019837484528;0,01182200804201;0,0047269740412862;0,0091680561996209;0,00259517031916629;0,00530477379281596;0,00974134231930539;0,000509666349078503;0,00560491716279206;-0,00204848994576565;-0,00240004235361701;-8,41666508813696e-06;0,000744844697946705;0,00366119895625579;0,00677100468725758;-0,00459684452640686;0,00084546218959534;-0,00233608834211458;0,000653323554597125;0,00427007975303892;0,00124312255242195;0,00290972457794969;-0,00306330341851845;0,000972476888391699;-0,000630404791747053;-0,000494143235754141;0,00127345011610034;1,71927547105909e-16
"306_proterhinus_trochanter_aligned";0,014880177258265;0,0715334967448723;-0,0113625648206383;0,127775615733954;0,0376195048608519;-0,0424295116469184;0,00674962011641137;0,0129108957545199;0,0511200718194679;-0,00944979024690382;0,000984923995039264;0,0310268209424968;0,0388684693344507;-0,089648995312315;0,0451995732183122;-0,0862225864134349;0,0172205286082903;-0,00771182344270633;-0,0067065694919607;-0,0168412778871243;0,0440240730919764;0,0255942014778484;-0,0583060915396466;-0,0161919370221987;-0,0371473482738523;0,0267424053968106;0,00490294499720787;0,014312310202343;-0,0210129361655995;0,0038817281884939;0,0114057956535833;-0,0087091580684517;-0,0149322297505729;0,00199858940796028;0,0237348954723266;-0,00254256954558723;-0,00127184819808642;0,00710087254262062;0,0050003553579639;0,00472067378761401;-0,00866701138971227;-0,0103580143934396;0,00738142599102296;-0,00188400016508021;0,00280521723211246;0,000479755803371753;-0,00790254994409323;0,000233348534159485;-0,00500786473315111;0,000286114095276772;0,000950438210879521;0,00501567145040151;0,00523296516834954;7,70053548991981e-05;0,00225569766238894;0,000420840713969851;-0,00165039480617436;0,00258400234069066;-0,00204311494061892;0,00208527167088627;0,000449653416830004;0,00200534159147784;2,31696180720221e-06;0,00432623356802348;0,000807766864398135;-0,00189445360285269;0,00123404049102428;8,28209410291314e-18
