evaluation,hopkins
1,0.984868443888026
2,0.996767434361758
3,0.993661605528502
4,0.200136877493281
5,0.862006927872314
6,0.936642290778142
7,0.999272953866852
8,0.999090776079703
9,0.993879285134027
10,0.977803569777802
11,0.99767880075588
12,0.954009442122674
13,0.995985910930711
14,0.987681994913433
15,0.998750452842386
16,0.899521027734231
17,0.964545158812992
18,0.892436786307868
19,0.999119213998733
20,0.994496213409617
21,0.977559436008379
22,0.293594730249043
23,0.997479523611647
24,0.979829493724601
25,0.979853967720935
26,0.970692342318672
27,0.994781134948845
28,0.983856814157423
29,0.987464584059555
30,0.986519193235556
31,0.934409803357215
32,0.939633018043961
33,0.992528071970108
34,0.87992486219285
35,0.985554669350828
36,0.961923399868072
37,0.967153543079957
38,0.486776858475566
39,0.949341741947393
40,0.98784338781569
41,0.99552569206928
42,0.994556092458079
43,0.992491802522967
44,0.990918575394291
45,0.927475207610294
46,0.969009435946371
47,0.999457370743768
48,0.216032383011817
49,0.994360591634191
50,0.976369541143693
51,0.32656996873379
52,0.976578864252778
53,0.973791450355366
54,0.980628012829721
55,0.199948738107212
56,0.981835518287821
57,0.993905534636945
58,0.946189449185164
59,0.973930414662297
60,0.971733893212273
61,0.990793600047018
62,0.993498474388587
63,0.961409428481123
64,0.993832473913183
65,0.993505354651237
66,0.0606590202425997
67,0.969855550101747
68,0.997595179455995
69,0.994738479877518
70,0.979427496964871
71,0.190159369719775
72,0.993190910407671
73,0.98875591719788
74,0.985673185881644
75,0.99592913851868
76,0.988412350507779
77,0.976489495833277
78,0.951950900506083
79,0.981287814862349
80,0.996708767450575
81,0.982710464940309
82,0.986225087643388
83,0.980395677971488
84,0.336045677274746
85,0.305757713047498
86,0.998634619997338
87,0.99056221214865
88,0.981028119863959
89,0.986709530233164
90,0.988429720904384
91,0.995976308101369
92,0.979037954270745
93,0.997886073817581
94,0.988932591719628
95,0.9973635758236
96,0.961357654401898
97,0.958103005162849
98,0.982447061297645
99,0.97675093940156
100,0.993727909478414
