"specimen_id";"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"cluster_kmeans";"cluster_hclust";"cluster_mclust"
"coenorhinus_pauxillus_trochanter_aligned";0,0761672310840334;0,00474668842957797;-0,151344957078105;-0,114253650338085;0,00654591130295861;0,00723852564712671;"1";"1";"5"
"dorytomus_taeniatus_trochanter_aligned";-0,0326158143968168;-0,0127834828301754;-0,0213188372034958;-0,036112086910931;-0,0163225478638841;-0,00187324095381862;"1";"1";"1"
"dryophthorus_corticalis_trochanter_aligned";-0,0492551025909417;0,0464398958048768;0,0526331369989739;0,0231745104295498;-0,00644724681832275;0,0515076471683601;"1";"1";"1"
"e_hypocrita_trochanter_aligned";-0,116484859436193;0,0241851842231804;0,0110872523625744;0,0132237291829903;-0,0795340136109533;0,0468669905495344;"1";"1";"1"
"e_micros_trochanter_aligned";-0,142620611024974;0,00942773522080704;0,00365573064927425;0,0762270642182686;-0,0716931858632709;0,0595575952407129;"1";"1";"1"
"hylesinus_crenatus_trochanter_aligned";-0,0478581808820431;0,0184438701896741;-0,0528454166043406;0,175368434917953;-0,0680790478730192;-0,046377616431232;"1";"1";"3"
"hylurgops_palliatus_trochanter_aligned";-0,0691950587922602;0,0162682670599745;-0,0438583315835442;0,0898881920180727;-0,0421303055627353;-0,0234235979085354;"1";"1";"1"
"larinus_turbinatus_trochanter_aligned";-0,0190959052541163;-0,0065906415668347;-0,0335948096047906;-0,00116873558577348;-0,0230596868246516;0,0144774862164469;"1";"1";"1"
"leiosoma_deflexum_trochanter_aligned";-0,0918810636351378;-0,026785395407881;0,114430518957309;-0,00251009476900458;-0,0114803639574941;0,0125985157539098;"1";"1";"6"
"leperisinus_fraxini_trochanter_aligned";-0,0166494205231521;-0,00861336139240021;-0,000280120436279382;0,0874942712131711;-0,0453160256848031;-0,0414821894022017;"1";"1";"3"
"limnobaris_t_trochanter_aligned";-0,117001451805103;-0,0376818486887545;0,0222089819658133;-0,0382140755324002;-0,0392029510192815;0,0363584147867303;"1";"1";"6"
"n_marmoratus_trochanter_aligned";0,283531045285562;-0,125909326317488;-0,0274263126732968;0,0316931825283788;0,0486527447608861;0,0144101833935741;"2";"3";"4"
"n_quadrimaculatus_trochanter_mirrored_aligned";-0,0559955574833245;0,0405694919795606;-0,065713954938449;0,0817688819715608;0,0231031698239351;0,0593148935237662;"1";"1";"1"
"orchestes_testaceus_trochanter_aligned";-0,0859461048366218;-0,00171248647457421;-0,075234511890868;0,0399296092130019;0,00507642313136431;-0,00798976513887925;"1";"1";"1"
"otiorynchus_singularis_trochanter_aligned";-0,0414346768336522;-0,118875905007446;-0,0475186562120075;-0,105578507082879;0,079350730606559;-0,115234922602481;"1";"1";"7"
"oxystoma_trochanter_aligned";0,328597067050903;-0,165589152468577;0,12676887917719;-0,0204231744690088;-0,0312705733563246;-0,0294286217215452;"2";"3";"4"
