family,original_n,rarefied_n,rarefied_disparity_mean,rarefied_disparity_median,rarefied_ci_low,rarefied_ci_high,rarefaction_replicates
Anthribidae,4,4,0.04840137030566211,0.04840137030566211,0.04840137030566211,0.04840137030566211,5000
Brentidae,8,4,0.020016201122837772,0.010502878169668828,0.00413314517894653,0.03726399165148781,5000
Curculionidae,48,4,0.011876434437062646,0.009673986580183709,0.0035722525109078444,0.03330564038935354,5000
Attelabidae,4,4,0.0016922644199376404,0.0016922644199376404,0.0016922644199376404,0.0016922644199376404,5000
