"m","sample_fraction","randomized_evaluations","seed","mean","median","sd","q025","q25","q75","q975","fraction_above_0_75"
4,0.0588235294117647,1000,1004,0.925240990084602,0.9880002783455,0.196785325467624,0.124635338190596,0.958500371661182,0.996854312202438,0.99955960913702,0.934
5,0.0735294117647059,1000,1005,0.930729060421692,0.98451334066257,0.181584000019359,0.185707507517165,0.959129135329124,0.995182100548857,0.999379449099482,0.938
6,0.0882352941176471,1000,1006,0.910903872908493,0.981824536829696,0.208134524179902,0.204514630221856,0.956273885847417,0.994248127868918,0.999163684062695,0.909
7,0.102941176470588,1000,1007,0.901222705147441,0.981831629053544,0.219382246887041,0.200650004023239,0.956779869822965,0.993614041000264,0.999116975358297,0.891
8,0.117647058823529,1000,1008,0.901622467309857,0.981165253535651,0.219393148138611,0.202470967816647,0.958051072615186,0.992592545054866,0.998713221485592,0.892
9,0.132352941176471,1000,1009,0.896162273695514,0.980141219722253,0.217674243019196,0.246430543835039,0.958091115772025,0.991662614020649,0.998336010229372,0.873
10,0.147058823529412,1000,1010,0.884827609079425,0.980367561214149,0.228620864242688,0.242655949401967,0.956895939756896,0.990920445773,0.998261023629927,0.852
