family,n,disparity,ci_low,ci_high,bootstrap_replicates
Anthribidae,4,0.04840137030566211,0.00645565525414593,0.060714197171230874,5000
Brentidae,8,0.023824412291505812,0.00463999622486453,0.04218907696248495,5000
Curculionidae,48,0.015661507116369336,0.010760861932931801,0.021190747465846635,5000
Attelabidae,4,0.0016922644199376404,4.405895265188691e-4,0.0020699954207461777,5000
